"marker","chr","pos"
"SCAFFOLD00020.2_183911"," 9"," 12.3607183"
"SCAFFOLD00020.2_795355"," 9"," 12.3605183"
"SCAFFOLD00020.2_795245"," 9"," 10.5951047"
"SCAFFOLD00020.1_866264"," 9","  8.2404356"
"SCAFFOLD00040_92834"," 9","  7.6521696"
"SCAFFOLD00033.2_1081320"," 9","  6.4755079"
"SCAFFOLD00033.1_1012218"," 9","  3.5309372"
"SCAFFOLD00033.1_1006637"," 9","  1.1761796"
"SCAFFOLD00033.2_130780"," 9","  1.1762796"
"SCAFFOLD00058.1_570180"," 9","  0.5879046"
"SCAFFOLD00033.1_666626"," 9","  0.0000000"
"SCAFFOLD00145_196639"," 8","  0.0000000"
"SCAFFOLD00026.1_149820"," 8","  0.0001000"
"SCAFFOLD00090_454640"," 8","  0.5954126"
"SCAFFOLD00090_554775"," 8","  2.3818403"
"SCAFFOLD00090_846158"," 8","  4.7645589"
"SCAFFOLD00124_534629"," 8","  5.3598654"
"SCAFFOLD00124_1015191"," 8","  7.7426823"
"SCAFFOLD00124_1038907"," 8","  7.7427823"
"SCAFFOLD00124_1034330"," 8","  7.7428823"
"SCAFFOLD00124_1038881"," 8","  7.7429823"
"SCAFFOLD00124_1038912"," 8","  7.7425823"
"SCAFFOLD00124_1038943"," 8"," 10.7226682"
"SCAFFOLD00310_109005"," 8"," 12.5090944"
"SCAFFOLD00360_135365"," 8"," 13.1044055"
"SCAFFOLD00018.1_539005"," 8"," 14.2950603"
"SCAFFOLD00043_2363860"," 8"," 16.0814865"
"SCAFFOLD00043_2363839"," 8"," 18.4642005"
"SCAFFOLD00043_1785124"," 8"," 20.8469161"
"SCAFFOLD00043_1301288"," 8"," 22.0375632"
"SCAFFOLD00043_860334"," 8"," 25.0172509"
"SCAFFOLD00043_94738"," 8"," 27.9969370"
"SCAFFOLD00253_34452"," 8"," 29.7833524"
"SCAFFOLD00392_78903"," 8"," 34.5597237"
"SCAFFOLD00013.2_31053"," 8"," 35.1550175"
"SCAFFOLD00013.1_2388337"," 8"," 39.9313918"
"SCAFFOLD00013.1_773572"," 8"," 40.5266839"
"SCAFFOLD00013.1_542052"," 8"," 45.9044576"
"SCAFFOLD00243_10947"," 8"," 47.6909743"
"SCAFFOLD00243_135777"," 8"," 47.6908743"
"SCAFFOLD00087_489517"," 8"," 48.2862885"
"SCAFFOLD00374_23731"," 8"," 49.4769447"
"SCAFFOLD00051.2_68644"," 8"," 50.6675933"
"SCAFFOLD00001.2_1892752"," 8"," 54.2452814"
"SCAFFOLD00051.1_701614"," 8"," 54.2450814"
"SCAFFOLD00182_898976"," 8"," 54.2451814"
"SCAFFOLD00051.1_318150"," 8"," 54.8406970"
"SCAFFOLD00562_61214"," 8"," 54.8405970"
"SCAFFOLD00562_61060"," 8"," 55.4361126"
"SCAFFOLD00182_127055"," 8"," 55.4360126"
"SCAFFOLD00006.2_148689"," 8"," 57.2225387"
"SCAFFOLD00001.2_279704"," 8"," 57.2227387"
"SCAFFOLD00182_752833"," 8"," 57.2226387"
"SCAFFOLD00001.1_1337096"," 8"," 57.8180528"
"SCAFFOLD00001.1_938739"," 8"," 59.0088091"
"SCAFFOLD00001.1_702781"," 8"," 59.0089091"
"SCAFFOLD00001.1_835856"," 8"," 59.0090091"
"SCAFFOLD00001.1_966616"," 8"," 59.0087091"
"SCAFFOLD00001.1_350717"," 8"," 59.6043217"
"SCAFFOLD00001.2_879610"," 8"," 61.3907524"
"SCAFFOLD00076.2_50293"," 8"," 62.5814042"
"SCAFFOLD00076.1_823551"," 8"," 64.3678319"
"SCAFFOLD00060.2_340023"," 8"," 66.1542551"
"SCAFFOLD00060.1_1306169"," 8"," 69.1339410"
"SCAFFOLD00060.1_838341"," 8"," 69.1340410"
"SCAFFOLD00060.1_838374"," 8"," 69.7296567"
"SCAFFOLD00060.1_1019178"," 8"," 69.7293567"
"SCAFFOLD00060.1_1042269"," 8"," 69.7294567"
"SCAFFOLD00060.1_467964"," 8"," 69.7295567"
"SCAFFOLD00060.1_352891"," 8"," 70.3252723"
"SCAFFOLD00060.1_467998"," 8"," 70.3249723"
"SCAFFOLD00060.1_526649"," 8"," 70.3250723"
"SCAFFOLD00060.1_503615"," 8"," 70.3251723"
"SCAFFOLD00060.1_503701"," 8"," 70.9205879"
"SCAFFOLD00027_313962"," 8"," 71.5158990"
"SCAFFOLD00235_69469"," 8"," 73.8986191"
"SCAFFOLD00027_1076377"," 8"," 75.0892693"
"SCAFFOLD00027_1516035"," 8"," 76.8756985"
"SCAFFOLD00027_1652368"," 8"," 78.0663503"
"SCAFFOLD00027_1813146"," 8"," 79.8527734"
"SCAFFOLD00027_3069143"," 8"," 83.4302648"
"SCAFFOLD00126_370484"," 8"," 85.2166849"
"SCAFFOLD00126_957689"," 8"," 87.5994988"
"SCAFFOLD00126_922144"," 8"," 87.5995988"
"SCAFFOLD00126_899125"," 8"," 87.5993988"
"SCAFFOLD00247_425436"," 8"," 89.3860235"
"SCAFFOLD00123_970982"," 8"," 91.7688374"
"SCAFFOLD00214_449900"," 8"," 91.7689374"
"SCAFFOLD00126_1067517"," 8"," 91.7687374"
"SCAFFOLD00225_267306"," 2"," 93.0052911"
"SCAFFOLD00115_1175046"," 2"," 93.0051911"
"SCAFFOLD00115_580942"," 2"," 93.0053911"
"SCAFFOLD00115_639524"," 2"," 92.4169035"
"SCAFFOLD00115_259043"," 2"," 91.8285159"
"SCAFFOLD00115_167303"," 2"," 91.8286159"
"SCAFFOLD00115_167473"," 2"," 91.2402283"
"SCAFFOLD00012.1_553553"," 2"," 90.6519407"
"SCAFFOLD00115_609419"," 2"," 90.0636532"
"SCAFFOLD00012.1_802301"," 2"," 89.4753656"
"SCAFFOLD00012.1_738606"," 2"," 89.4752656"
"SCAFFOLD00012.1_738600"," 2"," 89.4751656"
"SCAFFOLD00012.1_546830"," 2"," 87.7097731"
"SCAFFOLD00012.3_214280"," 2"," 87.7096731"
"SCAFFOLD00189_145140"," 2"," 87.1213856"
"SCAFFOLD00189_35406"," 2"," 86.5330980"
"SCAFFOLD00010_3535478"," 2"," 85.9448134"
"SCAFFOLD00343_144169"," 2"," 84.1794163"
"SCAFFOLD00189_658378"," 2"," 83.0027731"
"SCAFFOLD00154_664801"," 2"," 81.8261269"
"SCAFFOLD00154_653187"," 2"," 81.2378423"
"SCAFFOLD00154_1036036"," 2"," 80.0611991"
"SCAFFOLD00368_145927"," 2"," 77.7065538"
"SCAFFOLD00455_54305"," 2"," 76.5299106"
"SCAFFOLD00166_880221"," 2"," 75.9416245"
"SCAFFOLD00368_145875"," 2"," 75.3533399"
"SCAFFOLD00230_241129"," 2"," 73.5879414"
"SCAFFOLD00230_45205"," 2"," 72.9996613"
"SCAFFOLD00001.2_140282"," 2"," 70.6449177"
"SCAFFOLD00208_561367"," 2"," 70.6450177"
"SCAFFOLD00090_98682"," 2"," 70.0566331"
"SCAFFOLD00270_54961"," 2"," 68.2912406"
"SCAFFOLD00118_981013"," 2"," 65.3466880"
"SCAFFOLD00118_980984"," 2"," 63.5812955"
"SCAFFOLD00036.1_243861"," 2"," 62.9930109"
"SCAFFOLD00036.1_41130"," 2"," 62.9929109"
"SCAFFOLD00118_1310838"," 2"," 62.4046233"
"SCAFFOLD00036.1_414988"," 2"," 61.8163357"
"SCAFFOLD00118_1298049"," 2"," 61.2280526"
"SCAFFOLD00036.2_2008"," 2"," 58.8734059"
"SCAFFOLD00036.2_968209"," 2"," 57.6967657"
"SCAFFOLD00039_1697988"," 2"," 55.9313701"
"SCAFFOLD00129_65405"," 2"," 54.7543269"
"SCAFFOLD00039_1187551"," 2"," 54.7540269"
"SCAFFOLD00039_1512893"," 2"," 54.7541269"
"SCAFFOLD00039_1190661"," 2"," 54.7547269"
"SCAFFOLD00039_105294"," 2"," 54.7544269"
"SCAFFOLD00314_179841"," 2"," 54.7542269"
"SCAFFOLD00039_2434418"," 2"," 54.7546269"
"SCAFFOLD00129_1214215"," 2"," 54.7545269"
"SCAFFOLD00039_2434417"," 2"," 54.1656394"
"SCAFFOLD00092_792762"," 2"," 54.1657394"
"SCAFFOLD00039_1849894"," 2"," 54.1652394"
"SCAFFOLD00129_1181293"," 2"," 54.1655394"
"SCAFFOLD00039_1946727"," 2"," 54.1654394"
"SCAFFOLD00165_45698"," 2"," 54.1653394"
"SCAFFOLD00039_1942719"," 2"," 53.5768518"
"SCAFFOLD00111.1_290821"," 2"," 53.5767518"
"SCAFFOLD00039_1889087"," 2"," 53.5766518"
"SCAFFOLD00665_6115"," 2"," 53.5765518"
"SCAFFOLD00026.2_909167"," 2"," 53.5769518"
"SCAFFOLD00026.2_908504"," 2"," 51.8111593"
"SCAFFOLD00026.2_908759"," 2"," 51.8109593"
"SCAFFOLD00049.2_596251"," 2"," 51.8110593"
"SCAFFOLD00026.2_908766"," 2"," 51.2224718"
"SCAFFOLD00026.1_1273838"," 2"," 51.2226718"
"SCAFFOLD00259_284201"," 2"," 51.2225718"
"SCAFFOLD00259_284195"," 2"," 51.2221718"
"SCAFFOLD00026.2_281311"," 2"," 51.2222718"
"SCAFFOLD00026.1_1165243"," 2"," 51.2223718"
"SCAFFOLD00026.1_1165237"," 2"," 50.6338872"
"SCAFFOLD00052_938514"," 2"," 48.8683917"
"SCAFFOLD00279_173732"," 2"," 48.8684917"
"SCAFFOLD00279_173604"," 2"," 45.9238438"
"SCAFFOLD00234_432415"," 2"," 43.5692045"
"SCAFFOLD00234_559813"," 2"," 41.8037135"
"SCAFFOLD00234_620856"," 2"," 41.8038135"
"SCAFFOLD00176_147682"," 2"," 40.6270688"
"SCAFFOLD00173_393361"," 2"," 39.4504241"
"SCAFFOLD00173_677416"," 2"," 38.2737779"
"SCAFFOLD00173_39682"," 2"," 37.6853918"
"SCAFFOLD00357_73781"," 2"," 37.6854918"
"SCAFFOLD00146_226174"," 2"," 31.7756957"
"SCAFFOLD00146_196092"," 2"," 31.1874267"
"SCAFFOLD00133_649385"," 2"," 28.8327800"
"SCAFFOLD00270_283157"," 2"," 27.6561382"
"SCAFFOLD00072_451752"," 2"," 26.4794935"
"SCAFFOLD00286_178709"," 2"," 25.3028518"
"SCAFFOLD00072_278294"," 2"," 22.9482080"
"SCAFFOLD00072_632464"," 2"," 21.1828140"
"SCAFFOLD00072_1100581"," 2"," 20.5944294"
"SCAFFOLD00072_1485648"," 2"," 20.5945294"
"SCAFFOLD00072_1776436"," 2"," 19.4177847"
"SCAFFOLD00072_1776458"," 2"," 18.2411385"
"SCAFFOLD00605_44739"," 2"," 17.6528539"
"SCAFFOLD00083_1099535"," 2"," 16.4762062"
"SCAFFOLD00083_1640814"," 2"," 15.8879201"
"SCAFFOLD00083_574603"," 2"," 15.2996325"
"SCAFFOLD00083_1099613"," 2"," 14.7113449"
"SCAFFOLD00113_580239"," 2"," 14.1230588"
"SCAFFOLD00113_660328"," 2"," 12.9464126"
"SCAFFOLD00113_943953"," 2"," 11.7697709"
"SCAFFOLD00113_1297609"," 2","  9.4151242"
"SCAFFOLD00132_293132"," 2","  8.8268426"
"SCAFFOLD00132_774480"," 2","  7.6501994"
"SCAFFOLD00223_510322"," 2","  5.2955541"
"SCAFFOLD00375_6057"," 2","  4.1189139"
"SCAFFOLD00375_80489"," 2","  2.3535169"
"SCAFFOLD00075_1661064"," 2","  1.7651323"
"SCAFFOLD00075_930470"," 2","  1.7652323"
"SCAFFOLD00075_853701"," 2","  0.5884861"
"SCAFFOLD00075_785248"," 2","  0.0002000"
"SCAFFOLD00075_211820"," 2","  0.0000000"
"SCAFFOLD00443_50834"," 2","  0.0001000"
"SCAFFOLD00139_837149"," 3"," 91.2904023"
"SCAFFOLD00139_893308"," 3"," 91.2901023"
"SCAFFOLD00157_978216"," 3"," 91.2900023"
"SCAFFOLD00093.1_410606"," 3"," 91.2902023"
"SCAFFOLD00093.1_478573"," 3"," 91.2903023"
"SCAFFOLD00093.2_559011"," 3"," 90.7017162"
"SCAFFOLD00157_680057"," 3"," 89.5250699"
"SCAFFOLD00039_1184539"," 3"," 88.3484237"
"SCAFFOLD00157_334501"," 3"," 87.7601376"
"SCAFFOLD00055_935550"," 3"," 87.7600376"
"SCAFFOLD00001.6_1295343"," 3"," 87.1717501"
"SCAFFOLD00001.6_1580597"," 3"," 86.5834625"
"SCAFFOLD00001.6_859220"," 3"," 85.9951749"
"SCAFFOLD00001.6_1295334"," 3"," 85.9949749"
"SCAFFOLD00001.6_484820"," 3"," 85.9950749"
"SCAFFOLD00001.6_632841"," 3"," 85.4066888"
"SCAFFOLD00001.6_26439"," 3"," 84.2300426"
"SCAFFOLD00001.6_26400"," 3"," 83.0533979"
"SCAFFOLD00218_432897"," 3"," 81.8767516"
"SCAFFOLD00218_735067"," 3"," 81.2884716"
"SCAFFOLD00095_886706"," 3"," 78.3439206"
"SCAFFOLD00095_529909"," 3"," 74.8086629"
"SCAFFOLD00096_1537391"," 3"," 72.4540297"
"SCAFFOLD00319_106152"," 3"," 68.9187675"
"SCAFFOLD00096_330369"," 3"," 67.7420289"
"SCAFFOLD00156_865199"," 3"," 67.7421289"
"SCAFFOLD00156_399001"," 3"," 66.5653827"
"SCAFFOLD00156_890405"," 3"," 65.9766966"
"SCAFFOLD00017_2528946"," 3"," 65.9768966"
"SCAFFOLD00156_300957"," 3"," 65.9770966"
"SCAFFOLD00319_106145"," 3"," 65.9767966"
"SCAFFOLD00096_548323"," 3"," 65.9769966"
"SCAFFOLD00096_560993"," 3"," 65.3883090"
"SCAFFOLD00094_1531557"," 3"," 65.3884090"
"SCAFFOLD00094_1176019"," 3"," 64.8000215"
"SCAFFOLD00203_659657"," 3"," 64.2117399"
"SCAFFOLD00094_29911"," 3"," 61.2671829"
"SCAFFOLD00208_520157"," 3"," 60.0905427"
"SCAFFOLD00208_520221"," 3"," 58.9132980"
"SCAFFOLD00220_191672"," 3"," 58.9136980"
"SCAFFOLD00168_717279"," 3"," 58.9134980"
"SCAFFOLD00024.1_568167"," 3"," 58.9133980"
"SCAFFOLD00168_790202"," 3"," 58.9137980"
"SCAFFOLD00208_671699"," 3"," 58.9138980"
"SCAFFOLD00203_674221"," 3"," 58.9135980"
"SCAFFOLD00208_693374"," 3"," 58.3250104"
"SCAFFOLD00168_402160"," 3"," 57.7367229"
"SCAFFOLD00168_764089"," 3"," 57.7366229"
"SCAFFOLD00079.2_63511"," 3"," 57.1483353"
"SCAFFOLD00087_1341373"," 3"," 56.5600477"
"SCAFFOLD00079.2_120034"," 3"," 56.5599477"
"SCAFFOLD00017_2206770"," 3"," 55.9716601"
"SCAFFOLD00079.1_140834"," 3"," 55.9715601"
"SCAFFOLD00079.2_278488"," 3"," 55.3830726"
"SCAFFOLD00079.2_661292"," 3"," 55.3832726"
"SCAFFOLD00079.2_120062"," 3"," 55.3831726"
"SCAFFOLD00024.1_36601"," 3"," 53.6176800"
"SCAFFOLD00191_435084"," 3"," 51.8522859"
"SCAFFOLD00191_44801"," 3"," 50.6756427"
"SCAFFOLD00004.2_535116"," 3"," 50.6755427"
"SCAFFOLD00191_19061"," 3"," 49.4989042"
"SCAFFOLD00213_452494"," 3"," 45.9636453"
"SCAFFOLD00015.2_1410431"," 3"," 45.9635453"
"SCAFFOLD00015.2_1878480"," 3"," 42.4282850"
"SCAFFOLD00015.2_330265"," 3"," 41.8400050"
"SCAFFOLD00015.2_245751"," 3"," 41.8399050"
"SCAFFOLD00015.2_311318"," 3"," 41.2516174"
"SCAFFOLD00015.2_244632"," 3"," 41.2515174"
"SCAFFOLD00015.1_1333232"," 3"," 38.3069713"
"SCAFFOLD00015.1_1333334"," 3"," 38.3068713"
"SCAFFOLD00015.1_1174482"," 3"," 35.3623264"
"SCAFFOLD00015.1_1174437"," 3"," 31.8270687"
"SCAFFOLD00015.1_166227"," 3"," 29.4724402"
"SCAFFOLD00165_298087"," 3"," 24.1584192"
"SCAFFOLD00032.1_2129236"," 3"," 22.3930420"
"SCAFFOLD00029_2990360"," 3"," 18.2660803"
"SCAFFOLD00029_2780908"," 3"," 17.6777020"
"SCAFFOLD00032.2_378082"," 3"," 17.6778020"
"SCAFFOLD00029_2248327"," 3"," 17.0894144"
"SCAFFOLD00042.2_719015"," 3"," 17.0893144"
"SCAFFOLD00029_1992943"," 3"," 15.9126682"
"SCAFFOLD00029_1639564"," 3"," 15.3243866"
"SCAFFOLD00029_1294130"," 3"," 12.9697491"
"SCAFFOLD00029_260536"," 3","  8.2499096"
"SCAFFOLD00011_822545"," 3","  7.0732834"
"SCAFFOLD00011_3237588"," 3","  2.3534395"
"SCAFFOLD00011_3148826"," 3","  1.7651627"
"SCAFFOLD00101_1162881"," 3","  1.7650627"
"SCAFFOLD00001.2_905609"," 3","  1.1767752"
"SCAFFOLD00033.1_558090"," 3","  0.5884876"
"SCAFFOLD00217_590288"," 3","  0.0000000"
"SCAFFOLD00011_3077436"," 3","  0.0001000"
"SCAFFOLD00011_2062286"," 3","  0.0002000"
"SCAFFOLD00003.3_1124550"," 4"," 91.4107012"
"SCAFFOLD00003.3_637115"," 4"," 91.4106012"
"SCAFFOLD00003.3_1216115"," 4"," 89.0559368"
"SCAFFOLD00003.3_2052055"," 4"," 87.8792728"
"SCAFFOLD00035.2_111669"," 4"," 87.2910022"
"SCAFFOLD00003.3_2468338"," 4"," 86.1140337"
"SCAFFOLD00003.4_48319"," 4"," 86.1141337"
"SCAFFOLD00003.4_937833"," 4"," 86.1138337"
"SCAFFOLD00009.1_2389788"," 4"," 86.1139337"
"SCAFFOLD00009.1_2389738"," 4"," 86.1142337"
"SCAFFOLD00009.1_2389841"," 4"," 86.1143337"
"SCAFFOLD00003.5_422013"," 4"," 85.5255587"
"SCAFFOLD00003.5_2197561"," 4"," 84.9372882"
"SCAFFOLD00003.5_1529274"," 4"," 83.1718942"
"SCAFFOLD00003.5_1251495"," 4"," 74.8608733"
"SCAFFOLD00176_863657"," 4"," 67.7545867"
"SCAFFOLD00003.1_51968"," 4"," 66.5779419"
"SCAFFOLD00176_661523"," 4"," 65.9896691"
"SCAFFOLD00176_213676"," 4"," 65.4013941"
"SCAFFOLD00351_29354"," 4"," 64.8131236"
"SCAFFOLD00047.2_930850"," 4"," 63.0475032"
"SCAFFOLD00047.2_930869"," 4"," 63.0476032"
"SCAFFOLD00047.2_337555"," 4"," 63.0477032"
"SCAFFOLD00047.2_150499"," 4"," 61.8708484"
"SCAFFOLD00047.1_675619"," 4"," 57.7438548"
"SCAFFOLD00049.2_1195123"," 4"," 56.5671978"
"SCAFFOLD00049.2_965523"," 4"," 55.9789250"
"SCAFFOLD00049.2_843815"," 4"," 55.3906522"
"SCAFFOLD00049.2_843723"," 4"," 54.2139814"
"SCAFFOLD00049.2_843750"," 4"," 53.6257109"
"SCAFFOLD00049.2_76091"," 4"," 52.4490446"
"SCAFFOLD00010_4343850"," 4"," 50.6836219"
"SCAFFOLD00010_4257788"," 4"," 50.0951513"
"SCAFFOLD00010_4206853"," 4"," 50.0952513"
"SCAFFOLD00010_1592561"," 4"," 50.0953513"
"SCAFFOLD00010_1315206"," 4"," 49.5068785"
"SCAFFOLD00010_2063030"," 4"," 48.3302100"
"SCAFFOLD00031_2775023"," 4"," 47.1535415"
"SCAFFOLD00006.2_1184721"," 4"," 46.5650687"
"SCAFFOLD00006.2_274031"," 4"," 46.5651687"
"SCAFFOLD00006.2_188896"," 4"," 46.5652687"
"SCAFFOLD00006.3_118595"," 4"," 45.9763937"
"SCAFFOLD00010_282397"," 4"," 45.9765937"
"SCAFFOLD00010_1802192"," 4"," 45.9767937"
"SCAFFOLD00010_131692"," 4"," 45.9766937"
"SCAFFOLD00006.3_433639"," 4"," 45.9764937"
"SCAFFOLD00010_131848"," 4"," 43.6217271"
"SCAFFOLD00006.1_2415850"," 4"," 43.0334611"
"SCAFFOLD00006.1_2403955"," 4"," 41.8567926"
"SCAFFOLD00006.1_2399436"," 4"," 40.6801331"
"SCAFFOLD00006.1_1671684"," 4"," 37.7355646"
"SCAFFOLD00287_211212"," 4"," 34.7910076"
"SCAFFOLD00006.1_245206"," 4"," 30.6640185"
"SCAFFOLD00287_225049"," 4"," 30.0756573"
"SCAFFOLD00188_470891"," 4"," 30.0757573"
"SCAFFOLD00075_1301593"," 4"," 28.3102578"
"SCAFFOLD00131_262539"," 4"," 22.4004399"
"SCAFFOLD00131_272521"," 4"," 22.4005399"
"SCAFFOLD00131_766716"," 4"," 17.6805858"
"SCAFFOLD00131_1037007"," 4"," 17.0923270"
"SCAFFOLD00110_256762"," 4"," 16.5040542"
"SCAFFOLD00110_663637"," 4"," 15.3273835"
"SCAFFOLD00066_365155"," 4"," 14.7391318"
"SCAFFOLD00066_354335"," 4","  8.8293944"
"SCAFFOLD00066_1949669"," 4","  6.4747462"
"SCAFFOLD00021_3109644"," 4","  4.7093370"
"SCAFFOLD00164_671982"," 4","  1.7647640"
"SCAFFOLD00150_193795"," 4","  0.5881046"
"SCAFFOLD00068.2_959433"," 4","  0.5879046"
"SCAFFOLD00068.2_517209"," 4","  0.5880046"
"SCAFFOLD00268_410159"," 4","  0.0000000"
"SCAFFOLD00112_1008107","12","  0.0000000"
"SCAFFOLD00206_381046","12","  0.0001000"
"SCAFFOLD00112_365055","12","  1.8527911"
"SCAFFOLD00112_376055","12","  2.4701204"
"SCAFFOLD00249_49689","12","  4.3228162"
"SCAFFOLD00249_357798","12","  4.9401502"
"SCAFFOLD00249_357837","12","  5.5574889"
"SCAFFOLD00232_472014","12","  6.1748276"
"SCAFFOLD00232_496140","12","  6.7921616"
"SCAFFOLD00366_117785","12","  8.6448575"
"SCAFFOLD00366_130110","12","  9.2621915"
"SCAFFOLD00180_584050","12","  9.8795302"
"SCAFFOLD00180_343854","12","  9.8796302"
"SCAFFOLD00180_151756","12"," 10.4969689"
"SCAFFOLD00180_151792","12"," 11.1142931"
"SCAFFOLD00046.1_118955","12"," 15.4461007"
"SCAFFOLD00046.1_512621","12"," 16.6808932"
"SCAFFOLD00046.1_512607","12"," 16.6809932"
"SCAFFOLD00046.1_507171","12"," 16.6810932"
"SCAFFOLD00046.1_831779","12"," 17.2984295"
"SCAFFOLD00046.2_407579","12"," 18.5332365"
"SCAFFOLD00046.2_346452","12"," 19.7680435"
"SCAFFOLD00046.3_80","12"," 20.3853728"
"SCAFFOLD00281_91701","12"," 22.8565083"
"SCAFFOLD00046.3_29853","12"," 24.0913011"
"SCAFFOLD00230_45214","12"," 27.1816511"
