marker,consensus,X1,X2,X3,X4,X5,X6,LG
scaffold_2968_8231,7.51,NA,NA,NA,NA,7.51,8.98,1
scaffold_59245_719,8.9,NA,NA,0,NA,NA,NA,1
scaffold_81081_492,8.9,NA,NA,0,NA,NA,NA,1
scaffold_9160_2298,9.43,NA,5.4,NA,NA,NA,8.98,1
scaffold_9160_2381,9.43,NA,5.4,NA,NA,NA,8.98,1
scaffold_1100_4209,9.43,NA,NA,NA,NA,NA,8.98,1
scaffold_1100_4227,9.43,NA,NA,NA,NA,NA,8.98,1
scaffold_1106_7349,9.43,NA,NA,NA,NA,NA,8.98,1
scaffold_3673_1458,9.43,NA,NA,NA,NA,NA,8.98,1
scaffold_3766_574,9.43,NA,NA,NA,NA,NA,8.98,1
scaffold_3766_604,9.43,NA,NA,NA,NA,NA,8.98,1
scaffold_4368_8707,9.43,NA,NA,NA,NA,NA,8.98,1
scaffold_76507_369,9.43,NA,NA,NA,NA,NA,8.98,1
scaffold_76507_384,9.43,NA,NA,NA,NA,NA,8.98,1
vm51985,9.43,NA,NA,NA,NA,NA,8.98,1
scaffold_26476_4152,9.43,NA,5.4,NA,NA,NA,NA,1
scaffold_134917_143,9.72,8.25,NA,NA,NA,NA,NA,1
scaffold_15733_1219,9.72,8.25,NA,NA,NA,NA,10.47,1
scaffold_35889_2207,9.72,8.25,NA,NA,NA,NA,NA,1
scaffold_32919_317,10.57,NA,6.54,NA,NA,NA,NA,1
scaffold_134917_129,10.57,10.83,6.54,NA,NA,NA,8.98,1
scaffold_9050_2056,11.12,NA,NA,NA,NA,9.01,NA,1
scaffold_9050_2066,11.12,NA,NA,NA,NA,9.01,NA,1
scaffold_96465_597,11.23,10.83,NA,NA,NA,NA,NA,1
scaffold_96465_621,11.23,10.83,NA,NA,NA,NA,NA,1
scaffold_71113_927,12.56,NA,8.53,NA,NA,NA,NA,1
scaffold_71113_855,12.56,NA,8.53,NA,NA,NA,NA,1
vm55441,12.85,12.51,NA,NA,NA,NA,NA,1
scaffold_324_4853,14.11,NA,NA,NA,NA,12,10.47,1
scaffold_40197_1814,14.11,NA,NA,NA,NA,NA,10.47,1
scaffold_65439_1077,14.11,NA,NA,NA,NA,NA,10.47,1
scaffold_40197_1830,14.11,NA,NA,NA,NA,NA,10.47,1
scaffold_40197_1833,14.11,NA,NA,NA,NA,NA,10.47,1
scaffold_31163_2598,14.48,14.22,NA,NA,NA,12,10.47,1
scaffold_38320_1959,14.48,NA,NA,NA,NA,12,NA,1
scaffold_128374_188,14.48,NA,NA,NA,NA,12,NA,1
scaffold_16410_888,15.69,14.22,11.66,NA,NA,NA,NA,1
scaffold_1276_909,15.69,15.35,11.66,NA,NA,12,11.97,1
scaffold_38320_1958,15.69,NA,11.66,NA,NA,NA,NA,1
scaffold_25619_774,15.97,NA,11.94,NA,NA,NA,NA,1
scaffold_25619_855,15.97,NA,11.94,NA,NA,13.49,NA,1
scaffold_5_30366,15.97,NA,11.94,NA,NA,NA,NA,1
scaffold_93161_158,15.97,NA,NA,NA,NA,13.49,NA,1
scaffold_5_2181,15.97,NA,NA,NA,NA,13.49,NA,1
scaffold_5_24523,15.97,NA,NA,NA,NA,13.49,NA,1
scaffold_5_30383,15.97,NA,NA,NA,NA,13.49,NA,1
scaffold_5_24496,16.14,17.91,11.94,NA,NA,NA,11.97,1
scaffold_25619_730,16.14,17.91,11.94,NA,NA,NA,11.97,1
scaffold_81281_87,16.14,NA,NA,NA,NA,NA,11.97,1
scaffold_2223_1295,16.44,17.91,12.24,NA,NA,NA,NA,1
scaffold_152086_169,16.89,18.15,NA,NA,NA,NA,11.97,1
scaffold_39501_2089,16.89,18.15,NA,NA,NA,NA,NA,1
scaffold_144559_357,18.24,NA,14.21,NA,NA,13.49,NA,1
scaffold_144559_324,18.41,18.15,NA,NA,0,NA,13.46,1
scaffold_35569_2846,18.41,NA,14.21,NA,0,NA,NA,1
scaffold_144559_382,18.41,NA,14.21,NA,0,NA,NA,1
scaffold_35569_2857,18.41,NA,14.21,NA,0,NA,NA,1
SCF3551,18.41,NA,NA,0,0,13.49,13.46,1
scaffold_22637_3389,18.41,NA,NA,NA,NA,NA,13.46,1
scaffold_39501_2101,18.41,NA,NA,NA,NA,NA,13.46,1
scaffold_42029_822,19.24,NA,NA,0,0,NA,NA,1
scaffold_32098_1940,19.38,NA,15.35,NA,NA,NA,NA,1
scaffold_42029_793,20.58,21.84,NA,NA,NA,21,16.44,1
scaffold_7200_6757,20.58,21.84,16.55,NA,NA,NA,NA,1
scaffold_42029_741,20.58,21.84,NA,NA,NA,21,14.95,1
scaffold_7200_6795,20.58,21.84,16.55,NA,NA,NA,NA,1
scaffold_7200_6806,20.58,21.84,16.55,NA,NA,NA,NA,1
scaffold_1443_11261,20.58,NA,16.55,NA,0,NA,NA,1
scaffold_93161_251,20.58,NA,NA,NA,0,NA,NA,1
scaffold_35238_2084,20.58,NA,NA,NA,0,NA,NA,1
scaffold_93161_127,20.58,NA,NA,NA,0,NA,NA,1
scaffold_35238_2100,20.58,NA,NA,NA,0,NA,NA,1
scaffold_426_4354,21.65,NA,17.62,0,0,25.49,NA,1
scaffold_22637_3414,21.92,NA,17.62,NA,NA,25.49,NA,1
scaffold_40397_985,22.22,NA,18.19,NA,NA,NA,NA,1
scaffold_205740_92,22.22,NA,18.19,2.98,NA,25.49,NA,1
scaffold_131775_75,22.49,NA,18.19,NA,2.98,NA,NA,1
scaffold_55219_1486,22.62,26.69,NA,2.98,2.98,NA,NA,1
scaffold_15858_3067,22.62,26.69,NA,NA,2.98,NA,13.46,1
scaffold_3612_3319,22.62,26.69,NA,2.98,2.98,25.49,NA,1
scaffold_3612_3955,22.62,NA,NA,NA,2.98,NA,NA,1
scaffold_31849_429,23.21,NA,18.19,6.55,3.57,25.49,NA,1
scaffold_33009_2143,23.21,NA,NA,NA,3.57,NA,17.94,1
scaffold_143114_330,23.21,NA,NA,NA,3.57,NA,NA,1
scaffold_5536_5875,23.88,NA,NA,NA,NA,25.49,17.94,1
scaffold_5536_5876,23.88,NA,NA,NA,NA,25.49,17.94,1
scaffold_24552_1898,24.28,26.69,22.17,6.55,4.77,25.49,17.94,1
scaffold_10162_13,24.28,27.34,NA,NA,NA,NA,17.94,1
scaffold_10162_15,24.28,27.34,NA,NA,NA,NA,17.94,1
scaffold_11023_1074,24.28,27.34,NA,NA,NA,NA,NA,1
scaffold_23397_359,24.28,27.34,NA,NA,NA,NA,NA,1
scaffold_16654_4278,24.28,NA,NA,NA,NA,NA,17.94,1
scaffold_22318_2907,24.28,NA,NA,NA,NA,NA,17.94,1
scaffold_62395_1781,24.41,27.47,22.17,6.55,4.77,25.49,17.94,1
scaffold_62395_1380,25.01,NA,23.41,6.55,4.77,NA,NA,1
scaffold_58422_187,25.01,NA,NA,7.15,NA,NA,NA,1
scaffold_115288_495,25.01,NA,NA,7.15,NA,NA,NA,1
scaffold_32358_2578,25.21,27.66,23.55,NA,4.77,NA,NA,1
scaffold_58422_200,25.21,NA,23.41,7.15,NA,28.48,NA,1
scaffold_64688_441,25.21,NA,23.41,NA,4.77,NA,NA,1
scaffold_64688_510,25.21,NA,23.41,NA,4.77,NA,NA,1
scaffold_8782_6448,25.38,29.64,23.72,NA,NA,NA,17.94,1
scaffold_44732_1519,25.38,32.48,NA,NA,4.77,NA,17.94,1
scaffold_7231_3539,25.38,32.48,NA,NA,8.28,NA,17.94,1
scaffold_31190_1690,25.38,NA,NA,7.15,NA,25.49,19.43,1
scaffold_6810_4490,25.38,NA,NA,7.74,NA,26.99,19.43,1
scaffold_6810_4577,25.38,NA,NA,7.74,NA,28.48,19.43,1
scaffold_6810_4638,25.38,NA,NA,7.74,NA,28.48,19.43,1
scaffold_9033_5327,25.38,NA,NA,7.74,NA,26.99,19.43,1
scaffold_55875_1442,25.47,NA,NA,7.74,NA,NA,NA,1
scaffold_6810_4781,25.47,NA,NA,7.74,NA,NA,NA,1
scaffold_9033_5259,25.47,NA,NA,7.74,NA,NA,NA,1
scaffold_6810_7280,25.47,NA,NA,7.74,NA,NA,NA,1
scaffold_45513_1234,28.78,NA,27.12,NA,NA,NA,NA,1
scaffold_35977_2889,29.04,NA,NA,NA,8.28,NA,NA,1
scaffold_35977_2922,29.04,NA,NA,NA,8.28,NA,NA,1
scaffold_36886_1616,29.42,32.48,NA,NA,NA,NA,NA,1
scaffold_32358_2565,29.42,32.48,NA,NA,NA,NA,NA,1
scaffold_6810_4631,29.42,32.48,NA,NA,NA,NA,NA,1
scaffold_64996_1622,29.7,32.48,27.69,NA,8.94,NA,NA,1
scaffold_45085_2098,29.7,32.48,27.69,NA,8.94,NA,NA,1
scaffold_62603_693,29.7,32.76,28.83,NA,8.94,NA,NA,1
scaffold_3679_2742,29.7,32.76,NA,NA,NA,NA,NA,1
scaffold_9288_534,29.7,32.76,NA,NA,8.94,NA,25.43,1
scaffold_95913_1153,29.7,32.76,NA,NA,NA,NA,NA,1
scaffold_7031_3957,29.7,33.05,28.83,12.52,10.13,32.97,28.42,1
scaffold_94985_861,29.7,33.05,NA,NA,8.94,NA,25.43,1
scaffold_16222_2345,29.7,33.05,28.83,12.52,10.13,NA,NA,1
scaffold_16222_2363,29.7,33.05,28.83,12.52,10.13,NA,NA,1
scaffold_23101_1174,29.7,33.05,28.83,12.52,10.13,32.97,28.42,1
scaffold_23101_1209,29.7,33.05,28.83,12.52,10.13,NA,NA,1
scaffold_62258_1328,29.7,33.05,28.83,12.52,10.13,32.97,28.42,1
scaffold_7031_3963,29.7,33.05,28.83,12.52,10.13,32.97,28.42,1
scaffold_7031_3989,29.7,33.05,28.83,12.52,10.13,32.97,28.42,1
scaffold_97035_859,29.7,33.05,28.83,NA,8.94,NA,NA,1
scaffold_69346_606,29.7,33.33,NA,NA,8.94,NA,25.43,1
scaffold_71372_378,29.7,33.33,NA,NA,10.13,NA,NA,1
scaffold_71372_415,29.7,33.33,NA,NA,10.13,NA,NA,1
scaffold_97035_932,29.7,33.33,NA,12.52,8.94,32.97,NA,1
scaffold_37334_3131,29.7,NA,27.12,12.52,8.94,32.97,25.43,1
scaffold_1696_10596,29.7,NA,27.12,12.52,8.94,NA,NA,1
scaffold_37334_1854,29.7,NA,27.12,12.52,9.53,NA,NA,1
scaffold_37334_1887,29.7,NA,27.12,12.52,9.53,NA,NA,1
scaffold_37334_1895,29.7,NA,27.12,12.52,9.53,NA,NA,1
scaffold_51715_1701,29.7,NA,29.4,NA,8.94,NA,NA,1
scaffold_11116_768,29.7,NA,NA,12.52,NA,NA,NA,1
scaffold_73900_869,29.7,NA,NA,NA,8.94,NA,NA,1
scaffold_170652_201,29.7,NA,NA,NA,8.94,NA,NA,1
scaffold_105430_240,29.7,NA,NA,NA,8.94,NA,25.43,1
scaffold_20281_1485,29.7,NA,NA,NA,8.94,NA,NA,1
scaffold_16334_642,29.7,NA,NA,NA,NA,NA,25.43,1
scaffold_6110_904,29.98,33.33,28.83,NA,10.72,NA,NA,1
scaffold_15113_398,29.98,33.33,28.83,NA,NA,NA,NA,1
scaffold_7154_809,29.98,33.33,28.83,13.11,10.72,NA,NA,1
scaffold_52303_1856,29.98,33.33,29.11,NA,10.72,NA,NA,1
scaffold_15113_423,29.98,33.33,28.83,13.11,10.72,NA,NA,1
scaffold_13815_1292,29.98,NA,28.83,12.52,NA,32.97,NA,1
scaffold_156331_44,30.27,33.62,29.4,NA,11.32,NA,NA,1
scaffold_22095_4306,30.27,34.75,29.4,NA,11.32,NA,NA,1
scaffold_22095_4389,30.27,34.75,29.4,NA,11.32,NA,NA,1
scaffold_6151_1214,30.27,34.75,29.4,NA,NA,NA,NA,1
scaffold_62603_729,30.27,NA,29.4,13.11,NA,32.97,NA,1
scaffold_1066_239,30.27,NA,29.4,NA,NA,NA,25.43,1
scaffold_1066_8647,30.27,NA,29.4,NA,NA,NA,25.43,1
scaffold_1066_8733,30.27,NA,29.4,NA,NA,NA,25.43,1
scaffold_156331_52,30.27,NA,29.4,NA,NA,NA,25.43,1
scaffold_21943_4548,30.27,NA,29.4,NA,NA,32.97,NA,1
scaffold_26352_1385,30.27,NA,29.4,NA,NA,NA,25.43,1
scaffold_44200_496,30.27,NA,29.4,13.11,NA,32.97,NA,1
scaffold_15113_397,30.27,NA,NA,13.11,10.72,NA,NA,1
scaffold_22095_4371,30.56,NA,29.69,NA,NA,NA,25.43,1
scaffold_105587_462,30.56,NA,29.69,NA,NA,NA,25.43,1
SCF43220,30.57,34.75,NA,13.11,11.32,NA,NA,1
scaffold_37328_2503,30.57,NA,NA,13.11,NA,NA,NA,1
scaffold_26851_3914,30.57,NA,NA,13.11,NA,NA,NA,1
SCF118999,30.57,NA,NA,13.11,NA,NA,NA,1
scaffold_192897_179,30.57,NA,NA,13.11,NA,NA,NA,1
ct116900,30.57,NA,NA,NA,11.32,NA,NA,1
scaffold_44200_416,30.57,NA,NA,NA,11.32,NA,NA,1
scaffold_68972_1139,31.2,NA,30.81,NA,NA,32.97,NA,1
scaffold_2207_9299,31.68,35.6,30.81,NA,NA,32.97,NA,1
SCF3914,31.68,36.45,NA,13.71,13.11,NA,NA,1
scaffold_6645_4506,31.68,36.45,NA,NA,13.11,NA,25.43,1
scaffold_86507_811,31.68,NA,30.81,13.71,13.11,NA,NA,1
scaffold_8881_6460,31.68,NA,30.81,14.3,NA,32.97,NA,1
scaffold_111146_748,31.68,NA,30.81,NA,NA,NA,28.42,1
scaffold_174202_143,31.68,NA,30.81,NA,NA,NA,28.42,1
scaffold_29480_3099,31.68,NA,30.81,NA,NA,NA,28.42,1
scaffold_29633_279,31.68,NA,30.81,NA,NA,NA,28.42,1
scaffold_30763_3649,31.68,NA,30.81,NA,NA,NA,NA,1
scaffold_3398_4590,31.68,NA,30.81,NA,NA,NA,NA,1
scaffold_34680_462,31.68,NA,30.81,NA,NA,NA,NA,1
scaffold_34680_473,31.68,NA,30.81,NA,13.11,NA,28.42,1
scaffold_34680_557,31.68,NA,30.81,NA,NA,NA,NA,1
scaffold_4527_522,31.68,NA,30.81,NA,NA,NA,NA,1
scaffold_53575_2053,31.68,NA,30.81,NA,NA,NA,NA,1
scaffold_5367_5675,31.68,NA,30.81,NA,NA,NA,NA,1
scaffold_63947_427,31.68,NA,30.81,NA,NA,NA,28.42,1
scaffold_67859_386,31.68,NA,30.81,NA,NA,NA,28.42,1
scaffold_67859_400,31.68,NA,30.81,NA,NA,NA,28.42,1
scaffold_67859_401,31.68,NA,30.81,NA,NA,NA,28.42,1
scaffold_68072_794,31.68,NA,30.81,NA,NA,NA,28.42,1
scaffold_68972_1184,31.68,NA,30.81,NA,13.11,NA,28.42,1
scaffold_68972_1228,31.68,NA,30.81,NA,13.11,NA,28.42,1
scaffold_78615_581,31.68,NA,30.81,NA,NA,NA,28.42,1
scaffold_83777_1061,31.68,NA,30.81,NA,NA,NA,NA,1
scaffold_92811_1082,31.68,NA,30.81,13.71,NA,NA,NA,1
scaffold_94806_161,31.68,NA,30.81,13.71,NA,NA,NA,1
scaffold_6901_779,31.68,NA,NA,13.71,NA,32.97,28.42,1
SCF124322,31.68,NA,NA,13.71,13.11,NA,NA,1
SCF111370,31.68,NA,NA,13.71,13.11,NA,NA,1
SCF22962,31.68,NA,NA,13.71,NA,NA,NA,1
scaffold_17351_2364,31.68,NA,NA,13.71,NA,NA,NA,1
scaffold_10692_6504,31.68,NA,NA,NA,13.11,NA,NA,1
scaffold_3398_4593,31.68,NA,NA,NA,13.11,NA,28.42,1
scaffold_50850_1690,31.68,NA,NA,NA,13.11,NA,NA,1
scaffold_8765_4335,32.27,NA,38.47,NA,NA,32.97,NA,1
scaffold_10329_3466,32.27,NA,NA,13.71,NA,34.46,28.42,1
scaffold_90664_544,32.27,NA,NA,14.3,16.08,32.97,NA,1
scaffold_90664_610,32.27,NA,NA,14.3,16.08,32.97,NA,1
scaffold_119843_205,32.27,36.45,31.95,NA,16.08,NA,28.42,1
scaffold_5336_377,32.27,36.45,NA,NA,NA,NA,NA,1
scaffold_132563_419,32.27,36.45,32.52,NA,NA,NA,NA,1
scaffold_119843_102,32.27,36.45,NA,NA,16.08,NA,28.42,1
scaffold_119843_175,32.27,36.45,NA,NA,16.08,NA,28.42,1
scaffold_119843_227,32.27,36.45,NA,NA,NA,NA,NA,1
scaffold_44369_1307,32.27,36.45,NA,14.3,16.08,NA,NA,1
scaffold_7333_7111,32.27,36.45,NA,NA,NA,NA,NA,1
scaffold_132563_418,32.27,NA,31.95,NA,NA,NA,NA,1
scaffold_5513_2545,32.27,NA,NA,14.3,NA,NA,NA,1
scaffold_5513_2568,32.27,NA,NA,14.3,NA,NA,NA,1
SCF8223,32.27,NA,NA,NA,16.08,NA,NA,1
scaffold_43010_1033,32.69,NA,NA,NA,NA,34.46,28.42,1
scaffold_5152_276,32.87,37.3,33.09,NA,16.08,NA,28.42,1
scaffold_51660_1253,33.47,37.87,33.09,NA,17.28,NA,28.42,1
scaffold_79987_757,33.47,37.87,NA,NA,17.28,NA,28.42,1
scaffold_57172_1336,33.47,37.87,NA,17.88,16.68,NA,NA,1
scaffold_90664_651,33.47,NA,NA,14.3,NA,34.46,29.93,1
scaffold_10789_423,33.47,NA,NA,NA,17.28,NA,28.42,1
scaffold_51963_3413,33.69,37.87,NA,NA,17.28,NA,NA,1
scaffold_26473_1684,33.69,37.87,NA,NA,NA,NA,NA,1
scaffold_51963_3422,33.69,37.87,NA,NA,17.28,NA,NA,1
scaffold_51963_3464,33.69,37.87,NA,NA,17.28,NA,NA,1
scaffold_51963_3465,33.69,37.87,NA,NA,17.28,NA,NA,1
scaffold_57172_1360,33.69,37.87,NA,NA,NA,NA,NA,1
scaffold_63456_1876,33.69,37.87,NA,NA,NA,NA,NA,1
scaffold_79987_712,34.06,NA,34.51,16.09,NA,NA,NA,1
scaffold_16102_1339,34.07,37.87,NA,17.88,17.28,NA,NA,1
scaffold_26473_2692,34.07,NA,34.51,16.69,NA,NA,NA,1
scaffold_71150,34.07,NA,NA,NA,17.28,NA,NA,1
scaffold_53192_1405,35.26,NA,NA,NA,18.47,NA,NA,1
scaffold_69436_1312,35.26,NA,NA,NA,18.47,NA,NA,1
scaffold_84577_993,35.66,NA,NA,17.88,NA,NA,NA,1
scaffold_2563_1334,35.66,NA,NA,17.88,NA,NA,NA,1
scaffold_48424_1773,35.66,NA,NA,17.88,NA,NA,NA,1
scaffold_2850_11183,35.96,NA,NA,17.88,NA,41.98,37.41,1
scaffold_2021_8315,36.52,NA,NA,17.88,NA,47.98,37.41,1
scaffold_106934_609,36.52,NA,NA,17.88,NA,47.98,37.41,1
scaffold_56836_1453,37.46,NA,37.91,NA,NA,NA,38.91,1
scaffold_6701_1445,37.46,NA,37.91,NA,18.47,NA,NA,1
scaffold_56836_1478,37.46,NA,37.91,NA,NA,NA,38.91,1
scaffold_6701_1485,37.46,NA,37.91,NA,18.47,NA,NA,1
scaffold_60209_1652,37.46,NA,38.47,17.88,NA,NA,NA,1
scaffold_8765_2444,37.74,NA,38.47,NA,NA,NA,NA,1
scaffold_48424_1719,38.02,41.86,38.47,NA,NA,NA,38.91,1
scaffold_48424_1730,38.02,41.86,38.47,NA,NA,NA,38.91,1
scaffold_106934_593,38.02,NA,38.47,NA,NA,NA,38.91,1
scaffold_89289_215,38.02,NA,NA,NA,NA,NA,38.91,1
scaffold_17020_179,39.51,NA,NA,NA,NA,NA,40.4,1
scaffold_24816_4190,39.76,43.56,NA,NA,21.44,NA,NA,1
SCF142441,40.43,NA,NA,22.65,21.44,NA,NA,1
162108_K70,40.72,NA,NA,22.65,21.44,53.97,NA,1
scaffold_36632_1209,41.32,NA,NA,NA,22.04,NA,NA,1
scaffold_23861_249,41.32,NA,NA,NA,22.04,NA,NA,1
scaffold_42437_2728,41.32,NA,NA,NA,22.04,NA,NA,1
scaffold_36632_1228,41.32,NA,NA,NA,22.04,NA,NA,1
scaffold_28685_1160,44.04,47.84,NA,NA,NA,NA,40.4,1
scaffold_28685_1255,44.33,47.84,45.34,26.83,NA,NA,NA,1
scaffold_9500_1026,44.33,NA,45.34,26.83,22.04,53.97,NA,1
scaffold_9500_1040,44.33,NA,45.34,26.83,22.04,53.97,NA,1
scaffold_9500_1042,44.33,NA,45.34,26.83,22.04,53.97,NA,1
scaffold_4040_6982,44.61,NA,45.34,26.83,NA,53.97,NA,1
scaffold_4719_7228,45.78,NA,45.98,29.81,NA,53.97,NA,1
scaffold_2191_10864,45.91,NA,46.11,NA,NA,NA,NA,1
scaffold_109817_651,46.1,49.61,NA,33.94,NA,NA,NA,1
scaffold_58358_2203,46.1,49.74,NA,29.81,26.82,53.97,41.89,1
scaffold_58358_2222,46.1,49.74,NA,NA,26.82,NA,NA,1
scaffold_85316_876,46.1,49.74,NA,NA,26.82,NA,43.38,1
scaffold_15191_1140,46.1,NA,46.3,29.81,NA,53.97,43.38,1
scaffold_3828_4011,46.1,NA,46.3,29.81,NA,53.97,NA,1
scaffold_58358_2070,46.1,NA,NA,NA,26.82,NA,NA,1
scaffold_1941_10112,46.1,NA,NA,NA,26.82,NA,NA,1
scaffold_58358_2069,46.1,NA,NA,NA,26.82,NA,41.89,1
scaffold_65297_1295,46.75,50.26,49.77,NA,NA,NA,NA,1
scaffold_54729_2106,48.48,NA,NA,NA,29.2,NA,43.38,1
scaffold_36507_2247,49.91,NA,49.77,33.94,NA,53.97,NA,1
scaffold_109817_659,49.91,NA,NA,33.94,NA,53.97,NA,1
scaffold_43499_2223,50.87,NA,NA,34.58,NA,NA,NA,1
scaffold_18824,50.87,NA,NA,34.58,NA,NA,NA,1
scaffold_18380,52.06,NA,NA,34.58,32.78,NA,NA,1
scaffold_4585_8114,53.88,60.01,50.84,NA,NA,NA,NA,1
scaffold_3916_4622,54.74,NA,53.12,NA,NA,NA,NA,1
scaffold_1845_9975,54.74,NA,53.12,NA,NA,NA,NA,1
scaffold_4585_4746,54.74,NA,53.12,NA,NA,NA,NA,1
scaffold_4072_1302,55.02,60.01,NA,NA,NA,NA,NA,1
scaffold_4072_1319,55.02,60.01,NA,NA,NA,NA,NA,1
scaffold_3916_8681,55.02,61.15,53.4,37.54,32.78,66.15,46.37,1
scaffold_3916_8685,55.02,61.15,53.12,37.54,32.78,66.15,46.37,1
scaffold_3916_8718,55.02,61.43,NA,37.54,32.78,66.15,46.37,1
scaffold_3916_8762,55.02,61.43,NA,37.54,32.78,66.15,46.37,1
scaffold_20504_3658,55.02,NA,NA,37.54,NA,66.15,46.37,1
SCF121995,55.02,NA,NA,37.54,32.78,66.15,44.88,1
scaffold_159055_63,55.02,NA,NA,37.54,NA,NA,NA,1
scaffold_5427_6061,55.02,NA,NA,37.54,NA,NA,NA,1
scaffold_159055_64,55.02,NA,NA,37.54,NA,NA,NA,1
scaffold_159055_66,55.02,NA,NA,37.54,NA,NA,NA,1
scaffold_21571_4603,55.02,NA,NA,NA,32.78,NA,NA,1
scaffold_35254_1878,55.02,NA,NA,NA,32.78,NA,NA,1
scaffold_3916_4624,55.02,NA,NA,NA,32.78,NA,NA,1
scaffold_15888_1876,55.3,61.43,53.97,NA,NA,66.15,46.37,1
scaffold_15888_1770,55.3,61.43,53.97,39.32,32.78,66.15,46.37,1
scaffold_21571_4659,55.3,61.43,NA,NA,NA,NA,NA,1
scaffold_15888_4098,55.3,61.43,53.68,39.32,32.78,66.15,46.37,1
scaffold_86009_795,55.3,61.43,53.68,NA,NA,NA,NA,1
scaffold_6132_4821,55.3,61.43,NA,NA,NA,NA,NA,1
scaffold_15888_1791,55.3,61.43,53.97,39.32,32.78,66.15,46.37,1
