marker,consensus,LG
ct154654,100.7569731,3
scaffold_167122_133,100.7569731,3
scaffold_75059_1365,100.7569731,3
scaffold_167122_141,100.7569731,3
scaffold_17431_1305,103.1356064,3
scf1655c,103.1356064,3
SCF41971,103.1356064,3
scaffold_54656_638,107.8975652,3
scaffold_48109_1051,107.8975652,3
scaffold_63804_1841,107.8975652,3
scaffold_121825_591,107.8975652,3
SCF180863,0,4
scaffold_13509_2315,0,4
SCF31394,0,4
scaffold_10676_6243,0,4
scaffold_13509_2317,0,4
scaffold_13509_2319,0,4
1trimcontig178358,0.595266217,4
scaffold_83870_340,0.595266217,4
scaffold_13767_3213,2.381740317,4
scaffold_28974_3273,3.572441542,4
scaffold_63852_1018,3.572441542,4
scaffold_5355_5289,8.348325104,4
scaffold_21168_3751,10.7310796,4
scaffold_5355_5299,10.7310796,4
scaffold_5355_5345,10.7310796,4
scaffold_11068_3570,12.62214688,4
scaffold_11068_2064,12.79567146,4
SCF74458,16.86484908,4
SCF965,16.86484908,4
scf28l,16.86484908,4
scaffold_4009_1688,18.05555031,4
scaffold_59091_171,19.8348598,4
SCF26049,19.8348598,4
scaffold_4235_7663,24.60104684,4
SCF13771,25.79174806,4
scaffold_798_5968,25.79174806,4
scaffold_97957_626,31.77214906,4
scaffold_97957_613,31.77214906,4
scaffold_54731_1330,35.93841647,4
scaffold_38278,35.93841647,4
372875_K63,42.50684318,4
scaffold_2429_10453,42.50684318,4
SCF73288,44.88959767,4
CA325,48.46711876,4
SCF158988,49.06238498,4
scaffold_20649_2180,52.63990607,4
ct124256,53.23517229,4
scaffold_74218_403,58.06189136,4
scf2000b,62.30595614,4
scaffold_12807_2487,62.30595614,4
SCF158633,63.49665737,4
scaffold_13781_5835,64.09192358,4
scaffold_41261_2113,65.28262481,4
scaffold_41737_2850,65.28262481,4
scaffold_18251_2010,65.28262481,4
scaffold_18251_2037,65.28262481,4
SCF66692,65.28262481,4
SCF18709,65.28262481,4
SCF192715,65.28262481,4
SCF174468,65.28262481,4
172672_K70,65.28262481,4
SCF3595,65.28262481,4
scaffold_18386_4830,65.28262481,4
scaffold_41737_2851,65.28262481,4
scaffold_50678_1309,66.47332603,4
scaffold_11312_2927,67.06859225,4
CHI03186-1_124,67.66385847,4
scaffold_24126_604,67.66385847,4
scf12916,67.66385847,4
SCF125667,67.66385847,4
scaffold_6617_6412,68.85455969,4
SCF80703,70.04509213,4
scaffold_40275_701,72.42784662,4
scaffold_27004_2941,72.42784662,4
scaffold_44867_557,72.42784662,4
scaffold_47218_1068,85.79375306,4
scaffold_102126_133,85.79375306,4
scaffold_13652_4416,92.35189288,4
scaffold_2594_4289,92.35189288,4
scaffold_14670_2538,92.35189288,4
scaffold_52236_472,92.35189288,4
scaffold_13652_4426,92.35189288,4
1trimcontig209220,95.92913253,4
scaffold_35493_3053,97.71509998,4
vm54133,97.71509998,4
SCF141794,98.90563241,4
scaffold_53819_448,98.90563241,4
scaffold_17080_3162,101.2852574,4
scaffold_66779_961,101.2852574,4
scaffold_7191,101.2852574,4
SCF177451,107.265999,4
scaffold_245_5211,112.6437835,4
scaffold_245_5315,112.6437835,4
ct118602,112.6437835,4
Ig15420a,112.6437835,4
scaffold_245_5345,112.6437835,4
scaffold_8410_3911,113.8344848,4
scaffold_85751_70,113.8344848,4
scaffold_32633_1467,113.8344848,4
scaffold_25143_2323,0,5
SCF28613,0,5
ct153008,0,5
SCF143318,0,5
251788_K63,0,5
scaffold_25143_2337,0,5
scaffold_57723_1852,2.979712932,5
308839_K70,5.361855081,5
scaffold_43267_850,5.361855081,5
scaffold_96859_244,5.361855081,5
scaffold_96859_271,5.361855081,5
ct144370,9.538188636,5
scaffold_4784_2612,14.91597313,5
SCF59035,14.91597313,5
scaffold_2350_983,14.91597313,5
SCF32727,14.91597313,5
scaffold_21175_121,20.29375673,5
SCF259,27.48580854,5
scaffold_82996_449,27.48580854,5
scaffold_27901_2456,28.08107476,5
scaffold_27901_2503,28.08107476,5
SCF31208,29.27177598,5
scaffold_7039_4906,32.8842697,5
SCF132595,32.8842697,5
scaffold_25615_186,42.38361483,5
scaffold_15701_2749,42.38361483,5
vm39030,43.57431606,5
scaffold_150251_77,52.51873508,5
scaffold_23139_3315,52.51873508,5
scaffold_23139_3345,52.51873508,5
scaffold_23139_3333,52.51873508,5
scaffold_23139_3388,52.51873508,5
scaffold_150251_117,52.51873508,5
SCF149976,54.90013753,5
scaffold_65973_76,54.90013753,5
scaffold_11523_4166,54.90013753,5
scaffold_218000_24,54.90013753,5
scaffold_218000_36,54.90013753,5
scaffold_59748_944,56.09066997,5
scaffold_153763_295,56.09066997,5
scaffold_44221_1872,56.09066997,5
scaffold_59748_765,56.09066997,5
scaffold_153763_138,56.09066997,5
scaffold_59748_806,56.09066997,5
scaffold_59748_807,56.09066997,5
scaffold_59748_809,56.09066997,5
scaffold_153763_179,56.09066997,5
scaffold_153763_224,56.09066997,5
SCF83615,57.27885842,5
SCF46751,60.85231414,5
scaffold_75672_1002,66.82868467,5
scf9e,68.61515877,5
scaffold_128490_342,72.19249841,5
scaffold_11882_5584,72.78776463,5
scaffold_128730_239,73.38303085,5
SCF88902,73.38303085,5
SCF11431,73.38303085,5
1trimcontig237406,73.38303085,5
308812_K70,73.38303085,5
scaffold_67861_231,78.73899473,5
scaffold_33855_167,78.73899473,5
scaffold_56586_1719,78.73899473,5
scaffold_67861_333,78.73899473,5
scaffold_67861_317,78.73899473,5
scaffold_33855_178,78.73899473,5
scaffold_67861_258,78.73899473,5
scaffold_67861_267,78.73899473,5
scaffold_67861_276,78.73899473,5
scaffold_67861_385,78.73899473,5
scaffold_67861_410,78.73899473,5
scaffold_67861_411,78.73899473,5
scaffold_67861_418,78.73899473,5
1trimcontig191066,85.32443099,5
scaffold_21920_2900,87.11022964,5
scaffold_48695_1198,87.11022964,5
scaffold_79349_877,90.08931166,5
scaffold_12152_1265,90.08931166,5
scaffold_12152_1458,90.08931166,5
ct115258,92.47206615,5
scaffold_79323_408,99.54163992,5
scaffold_40304_1786,100.8182314,5
scaffold_68708_1669,100.8182314,5
scaffold_56441_2060,100.8182314,5
scaffold_8935_5319,100.8182314,5
scaffold_50249_221,104.9904257,5
SCF181909,0,6
scaffold_23492_1032,0,6
scaffold_6757_3647,0,6
SCF95767,0.595266217,6
SCF110507,0.595266217,6
SCF72209,1.190532435,6
scaffold_52287_1260,1.190532435,6
scaffold_28756_2258,1.190532435,6
scf108b,2.381233659,6
scaffold_37547_1024,2.381233659,6
scaffold_27949_1363,8.943921938,6
scaffold_2033_8836,11.32667643,6
scaffold_75222_296,11.32667643,6
SCF122746,16.70289801,6
307018_K70,18.48937211,6
scaffold_24233_371,20.27584621,6
scaffold_1122_2182,32.39116038,6
scaffold_101041_374,33.37017139,6
scaffold_101041_395,33.37017139,6
scaffold_101041_396,33.37017139,6
scaffold_101041_435,33.37017139,6
scaffold_101041_449,33.37017139,6
scaffold_113473_310,34.75856111,6
Pr031818821_185,34.75856111,6
scf3072b,35.94926233,6
scaffold_62302_445,40.71532088,6
scaffold_62302_451,40.71532088,6
scaffold_62302_458,40.71532088,6
scaffold_38945_3027,45.4916544,6
SCF199831,45.4916544,6
scaffold_29718_621,45.4916544,6
scaffold_13592_5230,47.8744089,6
SCF21596,51.44786461,6
scaffold_7078_6962,57.40311811,6
scaffold_3740_7926,59.18959221,6
SCF57497,59.18959221,6
SCF120937,60.97606631,6
scaffold_33714_3153,61.57133253,6
scaffold_1011_7304,61.57133253,6
scaffold_68358_358,61.57133253,6
482_K70,61.57133253,6
scaffold_5712_6591,61.57133253,6
scaffold_163488_123,61.57133253,6
SCF95754,61.57133253,6
scaffold_177069_72,61.57133253,6
1trimcontig444344,63.35780663,6
308539_K70,63.35780663,6
scaffold_15623_4581,64.54833906,6
scaffold_15089_3672,64.54833906,6
scaffold_15089_3677,64.54833906,6
scaffold_47109_461,64.54833906,6
scaffold_112006_715,64.54833906,6
scaffold_6464_1047,65.73904029,6
scaffold_64205_1772,65.73904029,6
scaffold_59709_425,65.73904029,6
scaffold_59709_467,65.73904029,6
scaffold_64205_1675,65.73904029,6
scaffold_68927_461,66.3343065,6
scaffold_64205_1765,66.3343065,6
scaffold_1316_7461,66.3343065,6
scaffold_1316_7468,66.3343065,6
scaffold_253_10146,67.01749638,6
scaffold_253_10157,67.01749638,6
scaffold_9330_1123,67.51515445,6
scaffold_9330_1137,67.51515445,6
scaffold_113569_478,75.29025721,6
scaffold_37664_2157,75.29025721,6
scaffold_37664_2073,75.29025721,6
scaffold_292_10167,75.29025721,6
scaffold_2298_11891,75.29025721,6
scaffold_2298_11927,75.29025721,6
scaffold_2298_11944,75.29025721,6
scaffold_37664_2100,75.29025721,6
scaffold_123424_94,77.67301171,6
scaffold_60038_1382,77.67301171,6
scaffold_123424_120,77.67301171,6
scaffold_109495_451,78.26827792,6
scaffold_40708_1130,78.26827792,6
scaffold_9424_6522,78.26827792,6
scaffold_20065_1708,78.26827792,6
scaffold_20065_1644,78.26827792,6
scaffold_20065_1747,78.26827792,6
scaffold_20065_1781,78.26827792,6
scaffold_54241_922,78.26827792,6
scaffold_8901_4107,85.46030574,6
SCF160647,86.05557195,6
scaffold_105350_615,87.83643941,6
scaffold_56695_1788,89.62291351,6
scaffold_56695_1863,89.62291351,6
SCF181772b,93.19313189,6
SCF181772,93.19313189,6
scaffold_56714_991,96.1720715,6
SCF118608,96.76733772,6
scaffold_86259_1061,100.9436161,6
scaffold_86259_1074,100.9436161,6
SCF28509,105.7199971,6
scaffold_17448_378,105.7199971,6
scaffold_29793_2137,105.7199971,6
ct140233,0,7
scaffold_13856_331,0,7
1trimcontig175770,0,7
411145_K63,0,7
SCF28955,2.979712932,7
ct110752,4.766187031,7
scf6355,4.766187031,7
scaffold_21429_3878,4.766187031,7
ct174735,4.766187031,7
scaffold_95206_499,5.956888256,7
SCF116485,5.956888256,7
scaffold_25600_3219,10.13324037,7
scaffold_16656_4281,15.50934494,7
scf4b,15.50934494,7
scaffold_43108_1357,15.50934494,7
scaffold_42843,17.89209943,7
scaffold_2458_6147,18.48736565,7
scaffold_2287_663,23.25355268,7
scaffold_4159_1110,26.82650088,7
scaffold_4159_1142,26.82650088,7
scaffold_4159_1157,26.82650088,7
scaffold_49589_2014,33.48065602,7
SCF59739,39.97334625,7
scaffold_23451_2236,45.93362183,7
scaffold_11091_3785,45.93362183,7
scaffold_68603_1529,45.93362183,7
scaffold_11091_3787,45.93362183,7
SCF76310,48.91333476,7
scaffold_3950_1883,55.49877102,7
SCF34584,55.49877102,7
309084_K70,55.49877102,7
vm26877,56.09403724,7
scaffold_10455_4484,56.09403724,7
scaffold_85066_97,56.68930346,7
scaffold_33116_857,56.68930346,7
SCF16166,56.68930346,7
SCF69698,58.47577756,7
scaffold_43277_250,63.24398716,7
scaffold_85228_1157,63.24398716,7
scaffold_60057_1337,63.83925338,7
scaffold_111859_687,63.83925338,7
scaffold_36242_2007,64.43451959,7
SCF38430,64.43451959,7
scaffold_10720_1438,64.43451959,7
418596_K63,65.02978581,7
scaffold_1288_6133,65.02978581,7
scaffold_46424_593,65.02978581,7
scaffold_6589_6692,65.02978581,7
76126_K63,65.02978581,7
SCF38942,65.02978581,7
scaffold_6589_6709,65.02978581,7
scaffold_10555_5516,65.02978581,7
scaffold_35104_2150,65.02978581,7
scaffold_46424_604,65.02978581,7
scaffold_102025_530,65.02978581,7
scaffold_38858_2957,65.62505203,7
scaffold_171330_183,65.62505203,7
scaffold_11821_2651,65.62505203,7
scaffold_15663_5346,65.62505203,7
scaffold_29144_1632,65.62505203,7
scaffold_39517_1889,65.62505203,7
scaffold_39517_1901,65.62505203,7
scaffold_60306_1438,65.62505203,7
scaffold_95983_79,65.62505203,7
scaffold_171330_195,65.62505203,7
SCF116567,72.21048829,7
scaffold_9105_1938,73.40102073,7
scaffold_33364_880,73.40102073,7
scf79c,79.38176295,7
SCF117422,79.38176295,7
scf6213,89.64245652,7
scaffold_85973_339,92.87832471,7
scaffold_34492_1275,98.14362081,7
scf248,98.14362081,7
scaffold_13691_2905,102.3171695,7
SCF3191,102.3171695,7
SCF3261,104.699924,7
SCF79620,0,8
scaffold_46524_1677,0,8
scaffold_57090_1795,0,8
SCF108454,0,8
scaffold_1585_388,1.190701225,8
scaffold_1585_397,1.190701225,8
SCF109269,1.785967442,8
SCF124927,2.381233659,8
vm31701,2.381233659,8
scaffold_15239_3508,4.167707759,8
scaffold_32325_2313,4.167707759,8
ct92708,10.75287674,8
scaffold_42330_2438,10.75287674,8
scaffold_4961_9183,11.34814296,8
scf283b,16.72592745,8
scaffold_88043_917,16.72592745,8
Ig13662a,19.70310278,8
scf207d,19.70310278,8
scaffold_68858_1607,20.893804,8
scaffold_68745_981,24.47132509,8
scaffold_68745_989,24.47132509,8
scaffold_68745_1016,24.47132509,8
scaffold_20741_4363,26.25382149,8
SCF13711,26.25382149,8
scaffold_57397_425,26.25382149,8
scaffold_20741_4383,26.25382149,8
scaffold_57397_428,26.25382149,8
scaffold_68668_195,26.25382149,8
scaffold_11171_3393,34.66369655,8
scaffold_894_14959,34.66369655,8
scaffold_11171_3395,34.66369655,8
scaffold_11171_3426,34.66369655,8
ct188529,37.04493021,8
scaffold_1002_800,38.23563144,8
scaffold_34084_3432,38.83089765,8
scaffold_34084_3460,38.83089765,8
scaffold_63419,38.83089765,8
scaffold_6162_7195,39.43617583,8
scaffold_38187_2604,43.001507,8
scaffold_40699_2470,47.77188567,8
1trimcontig344502,48.36871784,8
scaffold_67183_2619,48.36871784,8
scaffold_72352_1197,50.15519194,8
scaffold_22254_2263,50.15519194,8
scaffold_14_22768,51.94166604,8
scaffold_6634_3409,51.94166604,8
scaffold_6634_3292,51.94166604,8
scaffold_39893_1608,51.94166604,8
scaffold_3467_4488,51.94166604,8
scf112c,51.94166604,8
scaffold_10539_5125,51.94166604,8
scaffold_11583_5524,51.94166604,8
scaffold_91149_149,51.94166604,8
SCF9909,54.91640541,8
412234_K63,54.91640541,8
1trimcontig238080,57.29725396,8
SCF22442,57.89252018,8
scaffold_11512_6263,59.67899428,8
scaffold_11512_6264,59.67899428,8
scaffold_11512_6287,59.67899428,8
scaffold_7347_562,76.99179729,8
SCF40517,76.99179729,8
scaffold_26588_4302,76.99179729,8
scaffold_24568_3388,79.97109052,8
SCF31172,81.16179174,8
scaffold_4374,81.16179174,8
scf17d,81.16179174,8
scaffold_72061_795,91.42248918,8
scaffold_7268_8243,91.42248918,8
scaffold_7268_8248,91.42248918,8
scaffold_78684_446,94.58306839,8
SCF25446,94.83797379,8
contig652,97.62769418,8
scaffold_5398_1017,97.62769418,8
scaffold_101904_419,97.62769418,8
scaffold_114282_266,103.6084318,8
Pr031818823,103.6084318,8
scf44a,105.3949059,8
16720_K63,111.3748756,8
scaffold_3470_1989,111.3748756,8
scf1594,0,9
scaffold_13015_2407,0,9
scaffold_13015_2416,0,9
scaffold_36340_2051,1.785967442,9
scf2s,1.785967442,9
scaffold_54310_1233,2.381233659,9
scaffold_21058_5749,2.976499877,9
scaffold_214628_37,2.976499877,9
scaffold_21058_5792,2.976499877,9
scaffold_67776_293,2.976499877,9
scaffold_214628_40,2.976499877,9
scaffold_11617,4.762973976,9
scaffold_20967,4.762973976,9
SCF56717,7.155119158,9
SCF25944,15.55728606,9
scaffold_30502_3978,16.15255227,9
scaffold_113206_304,16.15255227,9
scaffold_875_13088,19.12996116,9
scaffold_19490_4575,19.12996116,9
SCF36745,20.91643526,9
scaffold_50033_1488,22.70290935,9
scaffold_13223_5230,25.68262229,9
scaffold_13223_5341,25.68262229,9
scaffold_5208_777,25.68262229,9
scf137c,25.68262229,9
scaffold_5208_814,25.68262229,9
scaffold_13223_5231,25.68262229,9
scaffold_13223_5266,25.68262229,9
scaffold_13223_5362,25.68262229,9
scaffold_13223_5370,25.68262229,9
SCF89247,28.06525451,9
SCF25221,30.44800901,9
scf31h,30.44800901,9
scaffold_35800_2348,35.20917757,9
scaffold_35800_2391,35.20917757,9
SCF111145,42.34966989,9
scaffold_48675_2016,46.526022,9
scaffold_806_2844,46.526022,9
SCF94237,50.10354309,9
scaffold_6921_6346,50.10354309,9
80734_K70,50.10354309,9
scaffold_6921_6390,50.10354309,9
scaffold_6921_6406,50.10354309,9
scaffold_6921_6415,50.10354309,9
scaffold_82126_543,54.27989521,9
76326_K70,57.8574163,9
409618_K63,59.6438904,9
scaffold_14682_2458,59.6438904,9
ct145217,63.21599407,9
scaffold_56352_160,63.21599407,9
scaffold_30770_2900,68.57832461,9
SCF4305,70.3647987,9
1trimcontig337780,70.3647987,9
311291_K70,70.3647987,9
SCF128015,72.7475532,9
scaffold_89768_575,75.72726613,9
scaffold_89768_544,75.72726613,9
scaffold_89768_543,75.72726613,9
scaffold_6923_2595,75.72726613,9
NA1792,75.72726613,9
scaffold_118707_673,75.72726613,9
scaffold_11714_2181,75.72726613,9
scaffold_6923_2614,75.72726613,9
scaffold_6923_2617,75.72726613,9
ct95345,78.11002063,9
SCF128307,78.11002063,9
SCF110168,79.30072185,9
scaffold_63922_420,79.30072185,9
scf5k,81.08668929,9
scaffold_66519_1065,85.84418809,9
scaffold_34508_2334,86.11174576,9
419834_K63,88.49404344,9
SCF187979,88.66125735,9
scaffold_131050_262,92.13664999,9
SCF915,93.92312409,9
scaffold_43434_633,95.11382531,9
Ig51a,99.29017743,9
scaffold_58406_116,99.88544365,9
scaffold_58406_147,99.88544365,9
scaffold_58406_160,99.88544365,9
scaffold_58406_165,99.88544365,9
scaffold_6387_1919,101.0759761,9
scaffold_57984_993,101.715031,9
SCF10514,106.4352435,9
SCF155637,106.4352435,9
scaffold_2851_6659,107.0305098,9
scaffold_2851_6681,107.0305098,9
scaffold_2851_6688,107.0305098,9
scaffold_8773_3429,108.221211,9
scaffold_75716_1446,108.221211,9
scf203h,108.221211,9
contig130Fb,0,10
scaffold_60563_2063,0,10
scaffold_120985_668,0,10
scaffold_60563_2064,0,10
scaffold_39193_792,2.382754495,10
scf20g,5.362467427,10
SCF90229,5.362467427,10
scf511,5.362467427,10
scaffold_36630_1455,5.362467427,10
scaffold_27082_1216,5.362467427,10
scaffold_36630_1457,5.362467427,10
vm04084,7.148595044,10
SCF27755,8.934562486,10
scaffold_64939_1550,10.72036114,10
SCF23339,10.72036114,10
scaffold_45381_868,11.31562736,10
scaffold_45381_872,11.31562736,10
scaffold_69755_831,11.91089357,10
scaffold_128832_245,11.91089357,10
scaffold_8209_2932,14.29327331,10
scaffold_8209_2945,14.29327331,10
scaffold_14206_4603,23.31242644,10
42710_K70,24.50595084,10
scaffold_54603_1691,24.50595084,10
411475_K63,24.50595084,10
SCF98686,24.50595084,10
scaffold_54603_1721,24.50595084,10
scaffold_38329_2902,25.10121706,10
1trimcontig440008,25.10121706,10
scaffold_120368_107,26.29191829,10
