marker,LG,Composite Map Position,[BGx(BLxNL)]95,GH1x35,Mullica Queen,Crimson Queen,Mullica Queen,Stevens,Polashock et al. (2014) scaffold,Predicted CDS
scaffold_9160_2381,1,9.43,NA,5.4,NA,NA,NA,8.98,#N/A,#N/A
scaffold_1100_4209,1,9.43,NA,NA,NA,NA,NA,8.98,>scaffold_1100,g2377.t1
scaffold_1100_4227,1,9.43,NA,NA,NA,NA,NA,8.98,#N/A,#N/A
scaffold_1106_7349,1,9.43,NA,NA,NA,NA,NA,8.98,>scaffold_1106,g2386.t1
scaffold_3673_1458,1,9.43,NA,NA,NA,NA,NA,8.98,>scaffold_3673,g6229.t1
scaffold_3766_574,1,9.43,NA,NA,NA,NA,NA,8.98,>scaffold_3766,g6348.t1
scaffold_3766_604,1,9.43,NA,NA,NA,NA,NA,8.98,#N/A,#N/A
scaffold_4368_8707,1,9.43,NA,NA,NA,NA,NA,8.98,>scaffold_4368,g7109.t1
scaffold_76507_369,1,9.43,NA,NA,NA,NA,NA,8.98,>scaffold_76507,NA
scaffold_76507_384,1,9.43,NA,NA,NA,NA,NA,8.98,#N/A,#N/A
vm51985,1,9.43,NA,NA,NA,NA,NA,8.98,>scaffold_6873,g9961.t1
scaffold_26476_4152,1,9.43,NA,5.4,NA,NA,NA,NA,>scaffold_26476,NA
scaffold_134917_143,1,9.72,8.25,NA,NA,NA,NA,NA,>scaffold_134917,NA
scaffold_15733_1219,1,9.72,8.25,NA,NA,NA,NA,10.47,>scaffold_15733,g17674.t1
scaffold_35889_2207,1,9.72,8.25,NA,NA,NA,NA,NA,>scaffold_35889,NA
scaffold_32919_317,1,10.57,NA,6.54,NA,NA,NA,NA,#N/A,#N/A
scaffold_134917_129,1,10.57,10.83,6.54,NA,NA,NA,8.98,#N/A,#N/A
scaffold_9050_2056,1,11.12,NA,NA,NA,NA,9.01,NA,>scaffold_9050,g12075.t1
scaffold_9050_2066,1,11.12,NA,NA,NA,NA,9.01,NA,#N/A,#N/A
scaffold_96465_597,1,11.23,10.83,NA,NA,NA,NA,NA,>scaffold_96465,NA
scaffold_96465_621,1,11.23,10.83,NA,NA,NA,NA,NA,#N/A,#N/A
scaffold_71113_927,1,12.56,NA,8.53,NA,NA,NA,NA,>scaffold_71113,NA
scaffold_71113_855,1,12.56,NA,8.53,NA,NA,NA,NA,#N/A,#N/A
vm55441,1,12.85,12.51,NA,NA,NA,NA,NA,>scaffold_18065,NA
scaffold_324_4853,1,14.11,NA,NA,NA,NA,12,10.47,>scaffold_324,g903.t1
scaffold_40197_1814,1,14.11,NA,NA,NA,NA,NA,10.47,>scaffold_40197,NA
scaffold_65439_1077,1,14.11,NA,NA,NA,NA,NA,10.47,>scaffold_65439,NA
scaffold_40197_1830,1,14.11,NA,NA,NA,NA,NA,10.47,#N/A,#N/A
scaffold_40197_1833,1,14.11,NA,NA,NA,NA,NA,10.47,#N/A,#N/A
scaffold_31163_2598,1,14.48,14.22,NA,NA,NA,12,10.47,>scaffold_31163,NA
scaffold_38320_1959,1,14.48,NA,NA,NA,NA,12,NA,>scaffold_38320,NA
scaffold_128374_188,1,14.48,NA,NA,NA,NA,12,NA,>scaffold_128374,NA
scaffold_16410_888,1,15.69,14.22,11.66,NA,NA,NA,NA,>scaffold_16410,NA
scaffold_1276_909,1,15.69,15.35,11.66,NA,NA,12,11.97,>scaffold_1276,g2687.t1
scaffold_38320_1958,1,15.69,NA,11.66,NA,NA,NA,NA,#N/A,#N/A
scaffold_25619_774,1,15.97,NA,11.94,NA,NA,NA,NA,>scaffold_25619,g23927.t1
scaffold_25619_855,1,15.97,NA,11.94,NA,NA,13.49,NA,#N/A,#N/A
scaffold_5_30366,1,15.97,NA,11.94,NA,NA,NA,NA,>scaffold_5,g62.t1
scaffold_93161_158,1,15.97,NA,NA,NA,NA,13.49,NA,>scaffold_93161,NA
scaffold_5_2181,1,15.97,NA,NA,NA,NA,13.49,NA,#N/A,#N/A
scaffold_5_24523,1,15.97,NA,NA,NA,NA,13.49,NA,#N/A,#N/A
scaffold_5_30383,1,15.97,NA,NA,NA,NA,13.49,NA,#N/A,#N/A
scaffold_5_24496,1,16.14,17.91,11.94,NA,NA,NA,11.97,#N/A,#N/A
scaffold_25619_730,1,16.14,17.91,11.94,NA,NA,NA,11.97,#N/A,#N/A
scaffold_81281_87,1,16.14,NA,NA,NA,NA,NA,11.97,>scaffold_81281,NA
scaffold_2223_1295,1,16.44,17.91,12.24,NA,NA,NA,NA,>scaffold_2223,g4194.t1
scaffold_152086_169,1,16.89,18.15,NA,NA,NA,NA,11.97,>scaffold_152086,NA
scaffold_39501_2089,1,16.89,18.15,NA,NA,NA,NA,NA,>scaffold_39501,NA
scaffold_144559_357,1,18.24,NA,14.21,NA,NA,13.49,NA,>scaffold_144559,NA
scaffold_144559_324,1,18.41,18.15,NA,NA,0,NA,13.46,#N/A,#N/A
scaffold_35569_2846,1,18.41,NA,14.21,NA,0,NA,NA,>scaffold_35569,NA
scaffold_144559_382,1,18.41,NA,14.21,NA,0,NA,NA,#N/A,#N/A
scaffold_35569_2857,1,18.41,NA,14.21,NA,0,NA,NA,#N/A,#N/A
SCF3551,1,18.41,NA,NA,0,0,13.49,13.46,>scaffold_9000,g12024.t1
scaffold_22637_3389,1,18.41,NA,NA,NA,NA,NA,13.46,>scaffold_22637,g22257.t1
scaffold_39501_2101,1,18.41,NA,NA,NA,NA,NA,13.46,#N/A,#N/A
scaffold_42029_822,1,19.24,NA,NA,0,0,NA,NA,>scaffold_42029,NA
scaffold_32098_1940,1,19.38,NA,15.35,NA,NA,NA,NA,>scaffold_32098,NA
scaffold_42029_793,1,20.58,21.84,NA,NA,NA,21,16.44,#N/A,#N/A
scaffold_7200_6757,1,20.58,21.84,16.55,NA,NA,NA,NA,>scaffold_7200,g10286.t1
scaffold_42029_741,1,20.58,21.84,NA,NA,NA,21,14.95,#N/A,#N/A
scaffold_7200_6795,1,20.58,21.84,16.55,NA,NA,NA,NA,#N/A,#N/A
scaffold_7200_6806,1,20.58,21.84,16.55,NA,NA,NA,NA,#N/A,#N/A
scaffold_1443_11261,1,20.58,NA,16.55,NA,0,NA,NA,>scaffold_1443,g2956.t1
scaffold_93161_251,1,20.58,NA,NA,NA,0,NA,NA,#N/A,#N/A
scaffold_35238_2084,1,20.58,NA,NA,NA,0,NA,NA,>scaffold_35238,NA
scaffold_93161_127,1,20.58,NA,NA,NA,0,NA,NA,#N/A,#N/A
scaffold_35238_2100,1,20.58,NA,NA,NA,0,NA,NA,#N/A,#N/A
scaffold_426_4354,1,21.65,NA,17.62,0,0,25.49,NA,>scaffold_426,g1125.t1
scaffold_22637_3414,1,21.92,NA,17.62,NA,NA,25.49,NA,#N/A,#N/A
scaffold_40397_985,1,22.22,NA,18.19,NA,NA,NA,NA,>scaffold_40397,NA
scaffold_205740_92,1,22.22,NA,18.19,2.98,NA,25.49,NA,>scaffold_205740,NA
scaffold_131775_75,1,22.49,NA,18.19,NA,2.98,NA,NA,>scaffold_131775,NA
scaffold_55219_1486,1,22.62,26.69,NA,2.98,2.98,NA,NA,>scaffold_55219,NA
scaffold_15858_3067,1,22.62,26.69,NA,NA,2.98,NA,13.46,>scaffold_15858,NA
scaffold_3612_3319,1,22.62,26.69,NA,2.98,2.98,25.49,NA,>scaffold_3612,g6138.t1
scaffold_3612_3955,1,22.62,NA,NA,NA,2.98,NA,NA,#N/A,#N/A
scaffold_31849_429,1,23.21,NA,18.19,6.55,3.57,25.49,NA,>scaffold_31849,NA
scaffold_33009_2143,1,23.21,NA,NA,NA,3.57,NA,17.94,>scaffold_33009,NA
scaffold_143114_330,1,23.21,NA,NA,NA,3.57,NA,NA,>scaffold_143114,NA
scaffold_5536_5875,1,23.88,NA,NA,NA,NA,25.49,17.94,>scaffold_5536,NA
scaffold_5536_5876,1,23.88,NA,NA,NA,NA,25.49,17.94,#N/A,#N/A
scaffold_24552_1898,1,24.28,26.69,22.17,6.55,4.77,25.49,17.94,>scaffold_24552,g23366.t1
scaffold_10162_13,1,24.28,27.34,NA,NA,NA,NA,17.94,>scaffold_10162,g13158.t1
scaffold_10162_15,1,24.28,27.34,NA,NA,NA,NA,17.94,#N/A,#N/A
scaffold_11023_1074,1,24.28,27.34,NA,NA,NA,NA,NA,>scaffold_11023,g13953.t1
scaffold_23397_359,1,24.28,27.34,NA,NA,NA,NA,NA,>scaffold_23397,NA
scaffold_16654_4278,1,24.28,NA,NA,NA,NA,NA,17.94,>scaffold_16654,NA
scaffold_22318_2907,1,24.28,NA,NA,NA,NA,NA,17.94,>scaffold_22318,NA
scaffold_62395_1781,1,24.41,27.47,22.17,6.55,4.77,25.49,17.94,>scaffold_62395,NA
scaffold_62395_1380,1,25.01,NA,23.41,6.55,4.77,NA,NA,#N/A,#N/A
scaffold_58422_187,1,25.01,NA,NA,7.15,NA,NA,NA,>scaffold_58422,NA
scaffold_115288_495,1,25.01,NA,NA,7.15,NA,NA,NA,>scaffold_115288,NA
scaffold_32358_2578,1,25.21,27.66,23.55,NA,4.77,NA,NA,>scaffold_32358,NA
scaffold_58422_200,1,25.21,NA,23.41,7.15,NA,28.48,NA,#N/A,#N/A
scaffold_64688_441,1,25.21,NA,23.41,NA,4.77,NA,NA,>scaffold_64688,NA
scaffold_64688_510,1,25.21,NA,23.41,NA,4.77,NA,NA,#N/A,#N/A
scaffold_8782_6448,1,25.38,29.64,23.72,NA,NA,NA,17.94,>scaffold_8782,NA
scaffold_44732_1519,1,25.38,32.48,NA,NA,4.77,NA,17.94,>scaffold_44732,NA
scaffold_7231_3539,1,25.38,32.48,NA,NA,8.28,NA,17.94,>scaffold_7231,g10308.t1
scaffold_31190_1690,1,25.38,NA,NA,7.15,NA,25.49,19.43,>scaffold_31190,NA
scaffold_6810_4490,1,25.38,NA,NA,7.74,NA,26.99,19.43,>scaffold_6810,g9891.t1
scaffold_6810_4577,1,25.38,NA,NA,7.74,NA,28.48,19.43,#N/A,#N/A
scaffold_6810_4638,1,25.38,NA,NA,7.74,NA,28.48,19.43,#N/A,#N/A
scaffold_9033_5327,1,25.38,NA,NA,7.74,NA,26.99,19.43,>scaffold_9033,g12058.t1
scaffold_55875_1442,1,25.47,NA,NA,7.74,NA,NA,NA,>scaffold_55875,NA
scaffold_6810_4781,1,25.47,NA,NA,7.74,NA,NA,NA,#N/A,#N/A
scaffold_9033_5259,1,25.47,NA,NA,7.74,NA,NA,NA,#N/A,#N/A
scaffold_6810_7280,1,25.47,NA,NA,7.74,NA,NA,NA,#N/A,#N/A
scaffold_45513_1234,1,28.78,NA,27.12,NA,NA,NA,NA,>scaffold_45513,NA
scaffold_35977_2889,1,29.04,NA,NA,NA,8.28,NA,NA,>scaffold_35977,NA
scaffold_35977_2922,1,29.04,NA,NA,NA,8.28,NA,NA,#N/A,#N/A
scaffold_36886_1616,1,29.42,32.48,NA,NA,NA,NA,NA,>scaffold_36886,g28894.t1
scaffold_32358_2565,1,29.42,32.48,NA,NA,NA,NA,NA,#N/A,#N/A
scaffold_6810_4631,1,29.42,32.48,NA,NA,NA,NA,NA,#N/A,#N/A
scaffold_64996_1622,1,29.7,32.48,27.69,NA,8.94,NA,NA,>scaffold_64996,NA
scaffold_45085_2098,1,29.7,32.48,27.69,NA,8.94,NA,NA,>scaffold_45085,g31616.t1
scaffold_62603_693,1,29.7,32.76,28.83,NA,8.94,NA,NA,>scaffold_62603,NA
scaffold_3679_2742,1,29.7,32.76,NA,NA,NA,NA,NA,>scaffold_3679,NA
scaffold_9288_534,1,29.7,32.76,NA,NA,8.94,NA,25.43,>scaffold_9288,g12308.t1
scaffold_95913_1153,1,29.7,32.76,NA,NA,NA,NA,NA,>scaffold_95913,NA
scaffold_7031_3957,1,29.7,33.05,28.83,12.52,10.13,32.97,28.42,>scaffold_7031,NA
scaffold_94985_861,1,29.7,33.05,NA,NA,8.94,NA,25.43,>scaffold_94985,NA
scaffold_16222_2345,1,29.7,33.05,28.83,12.52,10.13,NA,NA,>scaffold_16222,NA
scaffold_16222_2363,1,29.7,33.05,28.83,12.52,10.13,NA,NA,#N/A,#N/A
scaffold_23101_1174,1,29.7,33.05,28.83,12.52,10.13,32.97,28.42,>scaffold_23101,NA
scaffold_23101_1209,1,29.7,33.05,28.83,12.52,10.13,NA,NA,#N/A,#N/A
scaffold_62258_1328,1,29.7,33.05,28.83,12.52,10.13,32.97,28.42,>scaffold_62258,g35604.t1
scaffold_7031_3963,1,29.7,33.05,28.83,12.52,10.13,32.97,28.42,#N/A,#N/A
scaffold_7031_3989,1,29.7,33.05,28.83,12.52,10.13,32.97,28.42,#N/A,#N/A
scaffold_97035_859,1,29.7,33.05,28.83,NA,8.94,NA,NA,>scaffold_97035,NA
scaffold_69346_606,1,29.7,33.33,NA,NA,8.94,NA,25.43,>scaffold_69346,NA
scaffold_71372_378,1,29.7,33.33,NA,NA,10.13,NA,NA,>scaffold_71372,NA
scaffold_71372_415,1,29.7,33.33,NA,NA,10.13,NA,NA,#N/A,#N/A
scaffold_97035_932,1,29.7,33.33,NA,12.52,8.94,32.97,NA,#N/A,#N/A
scaffold_37334_3131,1,29.7,NA,27.12,12.52,8.94,32.97,25.43,>scaffold_37334,NA
scaffold_1696_10596,1,29.7,NA,27.12,12.52,8.94,NA,NA,>scaffold_1696,g3375.t1
scaffold_37334_1854,1,29.7,NA,27.12,12.52,9.53,NA,NA,#N/A,#N/A
scaffold_37334_1887,1,29.7,NA,27.12,12.52,9.53,NA,NA,#N/A,#N/A
scaffold_37334_1895,1,29.7,NA,27.12,12.52,9.53,NA,NA,#N/A,#N/A
scaffold_51715_1701,1,29.7,NA,29.4,NA,8.94,NA,NA,>scaffold_51715,NA
scaffold_11116_768,1,29.7,NA,NA,12.52,NA,NA,NA,>scaffold_11116,g14024.t1
scaffold_73900_869,1,29.7,NA,NA,NA,8.94,NA,NA,>scaffold_73900,NA
scaffold_170652_201,1,29.7,NA,NA,NA,8.94,NA,NA,>scaffold_170652,NA
scaffold_105430_240,1,29.7,NA,NA,NA,8.94,NA,25.43,>scaffold_105430,NA
scaffold_20281_1485,1,29.7,NA,NA,NA,8.94,NA,NA,>scaffold_20281,NA
scaffold_16334_642,1,29.7,NA,NA,NA,NA,NA,25.43,>scaffold_16334,NA
scaffold_6110_904,1,29.98,33.33,28.83,NA,10.72,NA,NA,>scaffold_6110,g9094.t1
scaffold_15113_398,1,29.98,33.33,28.83,NA,NA,NA,NA,>scaffold_15113,g17188.t1
scaffold_7154_809,1,29.98,33.33,28.83,13.11,10.72,NA,NA,>scaffold_7154,NA
scaffold_52303_1856,1,29.98,33.33,29.11,NA,10.72,NA,NA,>scaffold_52303,NA
scaffold_15113_423,1,29.98,33.33,28.83,13.11,10.72,NA,NA,#N/A,#N/A
scaffold_13815_1292,1,29.98,NA,28.83,12.52,NA,32.97,NA,>scaffold_13815,g16233.t1
scaffold_156331_44,1,30.27,33.62,29.4,NA,11.32,NA,NA,>scaffold_156331,NA
scaffold_22095_4306,1,30.27,34.75,29.4,NA,11.32,NA,NA,>scaffold_22095,NA
scaffold_22095_4389,1,30.27,34.75,29.4,NA,11.32,NA,NA,#N/A,#N/A
scaffold_6151_1214,1,30.27,34.75,29.4,NA,NA,NA,NA,>scaffold_6151,g9142.t1
scaffold_62603_729,1,30.27,NA,29.4,13.11,NA,32.97,NA,#N/A,#N/A
scaffold_1066_239,1,30.27,NA,29.4,NA,NA,NA,25.43,>scaffold_1066,g2321.t1
scaffold_1066_8647,1,30.27,NA,29.4,NA,NA,NA,25.43,#N/A,#N/A
scaffold_1066_8733,1,30.27,NA,29.4,NA,NA,NA,25.43,#N/A,#N/A
scaffold_156331_52,1,30.27,NA,29.4,NA,NA,NA,25.43,#N/A,#N/A
scaffold_21943_4548,1,30.27,NA,29.4,NA,NA,32.97,NA,>scaffold_21943,NA
scaffold_26352_1385,1,30.27,NA,29.4,NA,NA,NA,25.43,>scaffold_26352,NA
scaffold_44200_496,1,30.27,NA,29.4,13.11,NA,32.97,NA,>scaffold_44200,NA
scaffold_15113_397,1,30.27,NA,NA,13.11,10.72,NA,NA,#N/A,#N/A
scaffold_22095_4371,1,30.56,NA,29.69,NA,NA,NA,25.43,#N/A,#N/A
scaffold_105587_462,1,30.56,NA,29.69,NA,NA,NA,25.43,>scaffold_105587,NA
SCF43220,1,30.57,34.75,NA,13.11,11.32,NA,NA,>scaffold_10296,g13282.t1
scaffold_37328_2503,1,30.57,NA,NA,13.11,NA,NA,NA,>scaffold_37328,NA
scaffold_26851_3914,1,30.57,NA,NA,13.11,NA,NA,NA,>scaffold_26851,NA
SCF118999,1,30.57,NA,NA,13.11,NA,NA,NA,>scaffold_4493,g7253.t1
scaffold_192897_179,1,30.57,NA,NA,13.11,NA,NA,NA,>scaffold_192897,NA
ct116900,1,30.57,NA,NA,NA,11.32,NA,NA,>scaffold_28364,g25301.t1
scaffold_44200_416,1,30.57,NA,NA,NA,11.32,NA,NA,#N/A,#N/A
scaffold_68972_1139,1,31.2,NA,30.81,NA,NA,32.97,NA,>scaffold_68972,NA
scaffold_2207_9299,1,31.68,35.6,30.81,NA,NA,32.97,NA,>scaffold_2207,g4173.t1
SCF3914,1,31.68,36.45,NA,13.71,13.11,NA,NA,>scaffold_9147,g12167.t1
scaffold_6645_4506,1,31.68,36.45,NA,NA,13.11,NA,25.43,>scaffold_6645,g9697.t1
scaffold_86507_811,1,31.68,NA,30.81,13.71,13.11,NA,NA,>scaffold_86507,g39038.t1
scaffold_8881_6460,1,31.68,NA,30.81,14.3,NA,32.97,NA,>scaffold_8881,g11920.t1
scaffold_111146_748,1,31.68,NA,30.81,NA,NA,NA,28.42,>scaffold_111146,NA
scaffold_174202_143,1,31.68,NA,30.81,NA,NA,NA,28.42,>scaffold_174202,NA
scaffold_29480_3099,1,31.68,NA,30.81,NA,NA,NA,28.42,>scaffold_29480,NA
scaffold_29633_279,1,31.68,NA,30.81,NA,NA,NA,28.42,>scaffold_29633,g25875.t1
scaffold_30763_3649,1,31.68,NA,30.81,NA,NA,NA,NA,>scaffold_30763,NA
scaffold_3398_4590,1,31.68,NA,30.81,NA,NA,NA,NA,>scaffold_3398,g5850.t1
scaffold_34680_462,1,31.68,NA,30.81,NA,NA,NA,NA,>scaffold_34680,g28053.t1
scaffold_34680_473,1,31.68,NA,30.81,NA,13.11,NA,28.42,#N/A,#N/A
scaffold_34680_557,1,31.68,NA,30.81,NA,NA,NA,NA,#N/A,#N/A
scaffold_4527_522,1,31.68,NA,30.81,NA,NA,NA,NA,>scaffold_4527,g7296.t1
scaffold_53575_2053,1,31.68,NA,30.81,NA,NA,NA,NA,>scaffold_53575,NA
scaffold_5367_5675,1,31.68,NA,30.81,NA,NA,NA,NA,>scaffold_5367,g8318.t1
scaffold_63947_427,1,31.68,NA,30.81,NA,NA,NA,28.42,>scaffold_63947,NA
scaffold_67859_386,1,31.68,NA,30.81,NA,NA,NA,28.42,>scaffold_67859,NA
scaffold_67859_400,1,31.68,NA,30.81,NA,NA,NA,28.42,#N/A,#N/A
scaffold_67859_401,1,31.68,NA,30.81,NA,NA,NA,28.42,#N/A,#N/A
scaffold_68072_794,1,31.68,NA,30.81,NA,NA,NA,28.42,>scaffold_68072,NA
scaffold_68972_1184,1,31.68,NA,30.81,NA,13.11,NA,28.42,#N/A,#N/A
scaffold_68972_1228,1,31.68,NA,30.81,NA,13.11,NA,28.42,#N/A,#N/A
scaffold_78615_581,1,31.68,NA,30.81,NA,NA,NA,28.42,>scaffold_78615,g38159.t1
scaffold_83777_1061,1,31.68,NA,30.81,NA,NA,NA,NA,>scaffold_83777,NA
scaffold_92811_1082,1,31.68,NA,30.81,13.71,NA,NA,NA,>scaffold_92811,NA
scaffold_94806_161,1,31.68,NA,30.81,13.71,NA,NA,NA,>scaffold_94806,g39818.t1
scaffold_6901_779,1,31.68,NA,NA,13.71,NA,32.97,28.42,>scaffold_6901,g9994.t1
SCF124322,1,31.68,NA,NA,13.71,13.11,NA,NA,>scaffold_45628,NA
SCF111370,1,31.68,NA,NA,13.71,13.11,NA,NA,>scaffold_40254,NA
SCF22962,1,31.68,NA,NA,13.71,NA,NA,NA,>scaffold_31208,NA
scaffold_17351_2364,1,31.68,NA,NA,13.71,NA,NA,NA,>scaffold_17351,NA
scaffold_10692_6504,1,31.68,NA,NA,NA,13.11,NA,NA,>scaffold_10692,NA
scaffold_3398_4593,1,31.68,NA,NA,NA,13.11,NA,28.42,#N/A,#N/A
scaffold_50850_1690,1,31.68,NA,NA,NA,13.11,NA,NA,>scaffold_50850,NA
scaffold_8765_4335,1,32.27,NA,38.47,NA,NA,32.97,NA,>scaffold_8765,g11805.t1
scaffold_10329_3466,1,32.27,NA,NA,13.71,NA,34.46,28.42,>scaffold_10329,NA
scaffold_90664_544,1,32.27,NA,NA,14.3,16.08,32.97,NA,>scaffold_90664,NA
scaffold_90664_610,1,32.27,NA,NA,14.3,16.08,32.97,NA,#N/A,#N/A
scaffold_119843_205,1,32.27,36.45,31.95,NA,16.08,NA,28.42,>scaffold_119843,NA
scaffold_5336_377,1,32.27,36.45,NA,NA,NA,NA,NA,>scaffold_5336,g8285.t1
scaffold_132563_419,1,32.27,36.45,32.52,NA,NA,NA,NA,>scaffold_132563,NA
scaffold_119843_102,1,32.27,36.45,NA,NA,16.08,NA,28.42,#N/A,#N/A
scaffold_119843_175,1,32.27,36.45,NA,NA,16.08,NA,28.42,#N/A,#N/A
scaffold_119843_227,1,32.27,36.45,NA,NA,NA,NA,NA,#N/A,#N/A
