method,trait,chr,model,position,nearest_marker,qtl_lod,marker_variance,interval_left,interval_right,population,study,count,id
stepwiseqtl,PH_PC1,2,2014,63.49,bin_2@63.49cM_scaffold_209315_135,,7.5,60.49,66.49000000000001,gryg,diazGarcia2018_image,1,765
stepwiseqtl,PH_PC1,11,2014,75.64,bin_11@75.64cM_scaffold_28041_700,,7.37,74.305,76.975,gryg,diazGarcia2018_image,1,766
stepwiseqtl,PH_PC2,1,2014,105.72,bin_1@105.72cM_scaffold_75017_350,,7.31,103.63,107.81,gryg,diazGarcia2018_image,1,767
stepwiseqtl,PH_PC2,2,2014,57.45,bin_2@57.45cM_SCF125667,,7.86,56.74,58.160000000000004,gryg,diazGarcia2018_image,1,768
stepwiseqtl,PH_PC2,9,2014,85.12,bin_9@85.12cM_scaffold_52643_2159,,6.16,81.345,88.89500000000001,gryg,diazGarcia2018_image,1,769
stepwiseqtl,PH_PC2,10,2014,35.42,bin_10@35.42cM_scaffold_2979_9917,,8.87,33.335,37.505,gryg,diazGarcia2018_image,1,770
stepwiseqtl,PH_PC2,12,2014,54.96,bin_12@54.96cM_scaffold_2841_5173,,7.88,51.865,58.055,gryg,diazGarcia2018_image,1,771
stepwiseqtl,BL,2,2015,21.4,bin_2@21.4cM_scaffold_8019_6341,,6.31,16.729999999999997,26.07,gryg,diazGarcia2018_image,1,772
stepwiseqtl,BL,11,2015,14.62,bin_11@14.62cM_scaffold_57381_750,,10.36,12.79,16.45,gryg,diazGarcia2018_image,1,773
stepwiseqtl,BL,11,2015,79.33,bin_11@79.33cM_scaffold_56695_1863,,18.73,77.27499999999999,81.385,gryg,diazGarcia2018_image,1,774
stepwiseqtl,BW,1,2015,102.73,bin_1@102.73cM_scaffold_15803_354,,12.68,99.79,105.67,gryg,diazGarcia2018_image,1,775
stepwiseqtl,BW,8,2015,70.35,bin_8@70.35cM_scaffold_9073_7294,,7.82,65.47,75.22999999999999,gryg,diazGarcia2018_image,1,776
stepwiseqtl,BW,11,2015,14.62,bin_11@14.62cM_scaffold_57381_750,,10.36,8.799999999999999,20.439999999999998,gryg,diazGarcia2018_image,1,777
stepwiseqtl,BW,12,2015,38.11,bin_12@38.11cM_scaffold_26512_1632,,6.23,30.955,45.265,gryg,diazGarcia2018_image,1,778
stepwiseqtl,BA,1,2015,105.72,bin_1@105.72cM_scaffold_75017_350,,8.99,100.675,110.765,gryg,diazGarcia2018_image,1,779
stepwiseqtl,BA,7,2015,56.06,bin_7@56.06cM_scaffold_15867_4759,,8.39,52.995000000000005,59.125,gryg,diazGarcia2018_image,1,780
stepwiseqtl,BA,11,2015,15.29,bin_11@15.29cM_scaffold_24233_376,,12.35,13.459999999999999,17.119999999999997,gryg,diazGarcia2018_image,1,781
stepwiseqtl,BA,11,2015,79.75,bin_11@79.75cM_scaffold_27128_4325,,7.5,77.05,82.45,gryg,diazGarcia2018_image,1,782
stepwiseqtl,EC,1,2015,107.52,bin_1@107.52cM_scaffold_3011_100,,6.22,103.97,111.07,gryg,diazGarcia2018_image,1,783
stepwiseqtl,EC,2,2015,21.4,bin_2@21.4cM_scaffold_8019_6341,,13.8,19.174999999999997,23.625,gryg,diazGarcia2018_image,1,784
stepwiseqtl,EC,2,2015,78.4,bin_2@78.4cM_scaffold_3671_8042,,6.85,72.59,84.21000000000001,gryg,diazGarcia2018_image,1,785
stepwiseqtl,EC,6,2015,45.8,bin_6@45.8cM_scaffold_66897_943,,6.6,44.235,47.364999999999995,gryg,diazGarcia2018_image,1,786
stepwiseqtl,EC,11,2015,14.62,bin_11@14.62cM_scaffold_57381_750,,10.19,12.51,16.73,gryg,diazGarcia2018_image,1,787
stepwiseqtl,EC,11,2015,75.64,bin_11@75.64cM_scaffold_28041_700,,8.83,72.44500000000001,78.835,gryg,diazGarcia2018_image,1,788
stepwiseqtl,EC,12,2015,50.47,bin_12@50.47cM_scaffold_10505_3485,,8.43,48.074999999999996,52.865,gryg,diazGarcia2018_image,1,789
stepwiseqtl,LvW,2,2015,21.4,bin_2@21.4cM_scaffold_8019_6341,,16.95,19.174999999999997,23.625,gryg,diazGarcia2018_image,1,790
stepwiseqtl,LvW,2,2015,87.96,bin_2@87.96cM_scaffold_90528_1718,,7.26,84.225,91.695,gryg,diazGarcia2018_image,1,791
stepwiseqtl,LvW,6,2015,45.8,bin_6@45.8cM_scaffold_66897_943,,6.72,40.765,50.834999999999994,gryg,diazGarcia2018_image,1,792
stepwiseqtl,LvW,11,2015,14.62,bin_11@14.62cM_scaffold_57381_750,,10.85,8.799999999999999,20.439999999999998,gryg,diazGarcia2018_image,1,793
stepwiseqtl,LvW,11,2015,75.64,bin_11@75.64cM_scaffold_28041_700,,8.6,69.955,81.325,gryg,diazGarcia2018_image,1,794
stepwiseqtl,LvW,12,2015,49.4,bin_12@49.4cM_scaffold_40948_2457,,10.18,47.004999999999995,51.795,gryg,diazGarcia2018_image,1,795
stepwiseqtl,PH_PC1,1,2015,78.6,bin_1@78.6cM_scaffold_29336_265,,8.86,75.04499999999999,82.155,gryg,diazGarcia2018_image,1,796
stepwiseqtl,PH_PC1,10,2015,70.47,bin_10@70.47cM_scaffold_3376_7137,,6.84,65.405,75.535,gryg,diazGarcia2018_image,1,797
stepwiseqtl,PH_PC1,11,2015,19.61,bin_11@19.61cM_scaffold_19468_3891,,20.89,14.719999999999999,24.5,gryg,diazGarcia2018_image,1,798
stepwiseqtl,PH_PC1,11,2015,77.45,bin_11@77.45cM_scaffold_31501_3799,,13.75,75.395,79.50500000000001,gryg,diazGarcia2018_image,1,799
stepwiseqtl,PH_PC2,1,2015,6.31,bin_1@6.31cM_scaffold_9628_2399,,7.96,3.0449999999999995,9.575,gryg,diazGarcia2018_image,1,800
stepwiseqtl,PH_PC2,1,2015,68.75,bin_1@68.75cM_scaffold_81148_991,,12.09,65.305,72.195,gryg,diazGarcia2018_image,1,801
stepwiseqtl,PH_PC2,5,2015,58.41,bin_5@58.41cM_scaffold_20507_5170,,7.7,53.245,63.574999999999996,gryg,diazGarcia2018_image,1,802
stepwiseqtl,PH_PC2,11,2015,23.86,bin_11@23.86cM_scaffold_101041_374,,10.16,18.97,28.75,gryg,diazGarcia2018_image,1,803
stepwiseqtl,PH_PC2,11,2015,84.73,bin_11@84.73cM_scaffold_52145_1927,,10.1,81.7,87.76,gryg,diazGarcia2018_image,1,804
stepwiseqtl,PH_PC2,12,2015,54.96,bin_12@54.96cM_scaffold_2841_5173,,15.57,53.825,56.095,gryg,diazGarcia2018_image,1,805
stepwiseqtl,BL,1,2016,102.54,bin_1@102.54cM_scaffold_13178_3759,,6.72,100.155,104.92500000000001,gryg,diazGarcia2018_image,1,806
stepwiseqtl,BL,6,2016,19.74,bin_6@19.74cM_scf207d,,6.03,14.589999999999998,24.89,gryg,diazGarcia2018_image,1,807
stepwiseqtl,BL,7,2016,54.49,bin_7@54.49cM_scaffold_11311_2457,,14.42,52.93,56.050000000000004,gryg,diazGarcia2018_image,1,808
stepwiseqtl,BL,11,2016,91.56,bin_11@91.56cM_scaffold_79690_744,,13.8,88.575,94.545,gryg,diazGarcia2018_image,1,809
stepwiseqtl,BW,1,2016,101.03,bin_1@101.03cM_scaffold_120913_200,,11.89,98.645,103.415,gryg,diazGarcia2018_image,1,810
stepwiseqtl,BW,2,2016,50.21,bin_2@50.21cM_scaffold_33914_316,,6.26,46.075,54.345,gryg,diazGarcia2018_image,1,811
stepwiseqtl,BW,6,2016,11.65,bin_6@11.65cM_scaffold_42330_2535,,6.87,5.7700000000000005,17.53,gryg,diazGarcia2018_image,1,812
stepwiseqtl,BW,7,2016,54.49,bin_7@54.49cM_scaffold_11311_2457,,16.95,52.56,56.42,gryg,diazGarcia2018_image,1,813
stepwiseqtl,BW,9,2016,86.8,bin_9@86.8cM_scaffold_84032_312,,6.83,85.105,88.49499999999999,gryg,diazGarcia2018_image,1,814
stepwiseqtl,BA,1,2016,102.54,bin_1@102.54cM_scaffold_13178_3759,,9.65,100.155,104.92500000000001,gryg,diazGarcia2018_image,1,815
stepwiseqtl,BA,6,2016,11.65,bin_6@11.65cM_scaffold_42330_2535,,6.95,5.7700000000000005,17.53,gryg,diazGarcia2018_image,1,816
stepwiseqtl,BA,9,2016,87.8,bin_9@87.8cM_scaffold_70962_1187,,6.39,86.105,89.49499999999999,gryg,diazGarcia2018_image,1,817
stepwiseqtl,BA,11,2016,87.29,bin_11@87.29cM_scaffold_86259_1061,,7.2,82.31500000000001,92.265,gryg,diazGarcia2018_image,1,818
stepwiseqtl,EC,2,2016,21.4,bin_2@21.4cM_scaffold_8019_6341,,15.53,19.134999999999998,23.665,gryg,diazGarcia2018_image,1,819
stepwiseqtl,EC,2,2016,78.4,bin_2@78.4cM_scaffold_3671_8042,,7.28,72.215,84.58500000000001,gryg,diazGarcia2018_image,1,820
stepwiseqtl,EC,6,2016,45.52,bin_6@45.52cM_scaffold_51463_1551,,7.4,43.475,47.565000000000005,gryg,diazGarcia2018_image,1,821
stepwiseqtl,EC,11,2016,91.56,bin_11@91.56cM_scaffold_79690_744,,6.26,88.575,94.545,gryg,diazGarcia2018_image,1,822
stepwiseqtl,EC,12,2016,43.51,bin_12@43.51cM_scaffold_3221_3047,,6.3,36.129999999999995,50.89,gryg,diazGarcia2018_image,1,823
stepwiseqtl,LvW,2,2016,22.53,bin_2@22.53cM_scaffold_28792_1608,,13.55,20.305,24.755000000000003,gryg,diazGarcia2018_image,1,824
stepwiseqtl,LvW,2,2016,78.4,bin_2@78.4cM_scaffold_3671_8042,,6.79,72.59,84.21000000000001,gryg,diazGarcia2018_image,1,825
stepwiseqtl,LvW,6,2016,45.52,bin_6@45.52cM_scaffold_51463_1551,,6.44,43.955000000000005,47.085,gryg,diazGarcia2018_image,1,826
stepwiseqtl,LvW,11,2016,23.86,bin_11@23.86cM_scaffold_101041_374,,7.3,20.4,27.32,gryg,diazGarcia2018_image,1,827
stepwiseqtl,LvW,12,2016,43.51,bin_12@43.51cM_scaffold_3221_3047,,8.86,41.765,45.254999999999995,gryg,diazGarcia2018_image,1,828
stepwiseqtl,PH_PC1,1,2016,32.27,bin_1@32.27cM_scaffold_8765_4335,,9.08,30.840000000000003,33.7,gryg,diazGarcia2018_image,1,829
stepwiseqtl,PH_PC1,2,2016,52.96,bin_2@52.96cM_scaffold_58633_892,,7.65,51.285000000000004,54.635,gryg,diazGarcia2018_image,1,830
stepwiseqtl,PH_PC1,6,2016,53.07,bin_6@53.07cM_scaffold_86629_1261,,13.6,50.18,55.96,gryg,diazGarcia2018_image,1,831
stepwiseqtl,PH_PC1,9,2016,82.31,bin_9@82.31cM_scaffold_11296_2620,,8.64,80.19500000000001,84.425,gryg,diazGarcia2018_image,1,832
stepwiseqtl,PH_PC1,11,2016,79.75,bin_11@79.75cM_scaffold_27128_4325,,7.99,75.77,83.73,gryg,diazGarcia2018_image,1,833
stepwiseqtl,PH_PC1,12,2016,27.1,bin_12@27.1cM_scaffold_23551_1829,,6.58,24.115000000000002,30.085,gryg,diazGarcia2018_image,1,834
stepwiseqtl,PH_PC2,2,2016,22.53,bin_2@22.53cM_scaffold_28792_1608,,11.64,19.305,25.755000000000003,gryg,diazGarcia2018_image,1,835
stepwiseqtl,PH_PC2,6,2016,46.16,bin_6@46.16cM_scaffold_14_22768,,7.42,40.54,51.779999999999994,gryg,diazGarcia2018_image,1,836
stepwiseqtl,PH_PC2,9,2016,88.8,bin_9@88.8cM_scaffold_78646_1274,,8.6,87.84,89.75999999999999,gryg,diazGarcia2018_image,1,837
stepwiseqtl,PH_PC2,11,2016,27.14,bin_11@27.14cM_scaffold_70819_248,,7.36,24.880000000000003,29.4,gryg,diazGarcia2018_image,1,838
stepwiseqtl,PH_PC2,11,2016,75.64,bin_11@75.64cM_scaffold_28041_700,,6.68,74.305,76.975,gryg,diazGarcia2018_image,1,839
stepwiseqtl,PH_PC2,12,2016,38.11,bin_12@38.11cM_scaffold_26512_1632,,6.31,33.035,43.185,gryg,diazGarcia2018_image,1,840
