method,trait,chr,model,position,nearest_marker,qtl_lod,marker_variance,interval_left,interval_right,population,study,id
scanone,UBM,10,2013,28.150021,bin_10@28.15cM_scaffold_173749_80,19.3968793704032,14.3915462228452,21.51002,31.250026,cnj02,self,28
scanone,UBM,11,2011,53.000061,bin_11@53cM_scaffold_51138_759,20.3395864362435,16.1983902973608,50.630058,53.590062,cnj02,self,29
scanone,UBM,11,2012,38.070045,bin_11@38.07cM_scaffold_7181_4242,19.9965668568629,24.2153254981613,37.200041,39.200047,cnj02,self,30
scanone,UBM,11,2013,43.470052,bin_11@43.47cM_scaffold_5369_8651,22.2464151710012,17.3361960936453,40.340049,46.900054,cnj02,self,31
scanone,UBW,1,all-years,100.35009,bin_1@100.35cM_scaffold_81716_1234,11.8322019287624,12.1119199955655,97.960089,103.150093,cnj02,self,32
scanone,UBW,11,2012,30.320034,bin_11@30.32cM_scaffold_28856_2095,22.546644740403,36.3614102989565,28.380033,31.230035,cnj02,self,33
scanone,UBW,11,all-years,40.340049,bin_11@40.34cM_scaffold_3947_9416,15.6843986980709,16.9817658401631,28.380033,43.050051,cnj02,self,34
scanone,Brix,3,2013,36.490037,bin_3@36.49cM_scaffold_3243_9538,16.3534994653249,13.2449392387794,33.360031,38.10004,cnj02,self,35
scanone,Brix,9,2013,84.810075,bin_9@84.81cM_scaffold_10644_3379,16.1454825726719,13.0306727613812,81.240073,85.400076,cnj02,self,36
scanone,UCD,2,2013,62.800077,bin_2@62.8cM_scaffold_131448_245,11.4801012884189,13.7715144792444,56.25006,67.310081,cnj02,self,37
scanone,UCD,3,2011,58.580056,bin_3@58.58cM_scaffold_42994_1177,18.5200278171736,11.2174180648761,50.640052,60.960057,cnj02,self,38
scanone,UCD,4,2012,50.140058,bin_4@50.14cM_scaffold_6529_1808,12.9836114623764,15.3058553081052,46.850055,56.420059,cnj02,self,39
scanone,UCD,4,2013,20.360021,bin_4@20.36cM_scaffold_25620_2595,19.1311417510255,26.0951681185881,20.23002,23.500022,cnj02,self,40
scanone,UCD,4,all-years,43.86005,bin_4@43.86cM_scaffold_65387_812,19.7382344403608,20.4967977907073,35.640043,44.730051,cnj02,self,41
scanone,UCD,5,all-years,51.890042,bin_5@51.89cM_SCF46751,13.197920953741,12.4461232820923,50.350037,56.140045,cnj02,self,42
scanone,UCD,7,2011,46.010056,bin_7@46.01cM_scaffold_101118_92,33.1199494175178,25.0845008257498,42.590053,49.580058,cnj02,self,43
scanone,UCD,7,2012,46.010056,bin_7@46.01cM_scaffold_101118_92,10.4810356681385,11.8557893077067,38.260048,49.580058,cnj02,self,44
scanone,UCD,7,all-years,46.010056,bin_7@46.01cM_scaffold_101118_92,17.5904147921531,17.6922776394774,42.590053,51.930063,cnj02,self,45
scanone,UCLP,5,2011,47.120032,bin_5@47.12cM_scaffold_19438_3420,9.24934563757634,11.181010116897,44.740029,50.350037,cnj02,self,46
scanone,UCLP,5,all-years,23.960013,bin_5@23.96cM_scaffold_27901_2456,10.3376167121776,13.7687071228222,22.38001,25.480016,cnj02,self,47
scanone,UCLP,7,2011,34.800045,bin_7@34.8cM_SCF112540,15.1154283175419,19.8905692676324,25.820039,38.260048,cnj02,self,48
scanone,UCLP,7,all-years,29.450041,bin_7@29.45cM_scaffold_76080_956,11.9080001921649,16.2230816758865,25.820039,32.730043,cnj02,self,49
scanone,UCLP,10,2011,52.800056,bin_10@52.8cM_scaffold_4545_1974,10.7625550574296,13.2954747039798,47.54005,61.460062,cnj02,self,50
scanone,UCLP,11,2013,64.540078,bin_11@64.54cM_scaffold_2406_6866,10.742997861057,11.4099182228618,58.35007,69.830084,cnj02,self,51
scanone,UCLS,1,2011,41.320035,bin_1@41.32cM_scaffold_36632_1209,23.6080513571708,20.6816738820705,37.460031,45.780038,cnj02,self,52
scanone,UCLS,2,2013,52.480053,bin_2@52.48cM_scaffold_27196_4009,13.6451509432718,13.866623331608,43.420042,57.450062,cnj02,self,53
scanone,UCLS,3,2011,28.640026,bin_3@28.64cM_scaffold_13388_3745,14.5087749536823,11.0994251195677,26.260024,37.130039,cnj02,self,54
scanone,UCLS,3,2012,39.270043,bin_3@39.27cM_scaffold_18760_4623,18.3147745866874,20.8060833259097,36.190036,43.050048,cnj02,self,55
scanone,UCLS,3,all-years,62.220058,bin_3@62.22cM_scaffold_20885_4545,14.657691224403,17.91194416753,54.230054,66.320061,cnj02,self,56
scanone,UCLS,4,2013,29.890034,bin_4@29.89cM_scaffold_195_14929,12.4524689441842,12.4063873414867,26.790028,35.060042,cnj02,self,57
scanone,UCLS,5,2012,35.86002,bin_5@35.86cM_scaffold_25615_186,14.2127302511681,15.06683764736,31.090019,38.150022,cnj02,self,58
scanone,UCLS,6,2012,81.930107,bin_6@81.93cM_scaffold_33952_482,12.1646108913656,12.464082641868,76.680099,84.40011,cnj02,self,59
scanone,UCLS,9,2013,58.28005,bin_9@58.28cM_scaffold_184159_239,10.8390407374528,10.5153134027819,55.290045,64.230057,cnj02,self,60
scanone,UCLS,11,2011,37.360043,bin_11@37.36cM_scaffold_155461_120,18.0608261368902,14.5585554895824,31.230035,38.690046,cnj02,self,61
scanone,UKEC,2,2013,67.310081,bin_2@67.31cM_scaffold_3191_5626,7.63884593593333,10.5577544317065,63.78008,78.400089,cnj02,self,62
scanone,UKEC,3,2011,36.190036,bin_3@36.19cM_scaffold_6553_5632,17.8376871509478,13.6682835001962,28.640026,39.510044,cnj02,self,63
scanone,UKEC,3,2012,52.940053,bin_3@52.94cM_scaffold_14059_5352,10.0945658068524,11.044537153987,50.640052,60.960057,cnj02,self,64
scanone,UKEC,3,all-years,29.670027,bin_3@29.67cM_scaffold_42014_1292,13.639172039898,12.9339568906913,28.640026,32.77003,cnj02,self,65
scanone,UKEC,5,2012,60.97005,bin_5@60.97cM_scaffold_1210_954,13.9269785028813,16.2338134474589,57.210047,67.620056,cnj02,self,66
scanone,UKEC,8,2011,58.05006,bin_8@58.05cM_scaffold_126870_338,18.4632845185071,14.2795891317505,51.220049,58.840061,cnj02,self,67
scanone,UKEC,8,2012,51.74005,bin_8@51.74cM_scaffold_34921_1026,11.7372133539665,13.1932242738246,47.650044,54.640058,cnj02,self,68
scanone,UKEC,8,all-years,58.05006,bin_8@58.05cM_scaffold_126870_338,12.4857798245751,11.6435337629839,54.640058,58.840061,cnj02,self,69
scanone,UKEC,9,2011,81.240073,bin_9@81.24cM_scaffold_4532_4509,21.3468897791819,17.2368874679232,80.040071,84.220074,cnj02,self,70
scanone,UKEC,9,2013,85.400076,bin_9@85.4cM_scaffold_3471_6487,11.4499403152061,16.8410942979648,81.240073,87.090078,cnj02,self,71
scanone,UKEC,9,all-years,80.040071,bin_9@80.04cM_ct154206,13.8324301095166,13.1541942314623,70.500063,84.220074,cnj02,self,72
scanone,UKEC,11,2011,38.070045,bin_11@38.07cM_scaffold_7181_4242,15.2843818759465,11.2792210284383,28.380033,38.690046,cnj02,self,73
scanone,UKEC,11,2012,43.470052,bin_11@43.47cM_scaffold_5369_8651,12.1889985197776,13.803700326716,37.360043,46.900054,cnj02,self,74
scanone,UKEC,11,2013,20.18002,bin_11@20.18cM_scaffold_72495_1231,13.090159911512,19.783270903864,11.070014,23.010022,cnj02,self,75
scanone,UKEC,11,all-years,20.18002,bin_11@20.18cM_scaffold_72495_1231,14.180879239182,13.5542479321144,17.250019,21.880021,cnj02,self,76
scanone,UKLvW,2,all-years,74.700085,bin_2@74.7cM_scaffold_47218_1068,10.0855176131159,11.1614966858292,63.78008,75.390087,cnj02,self,77
scanone,UKLvW,3,2011,36.190036,bin_3@36.19cM_scaffold_6553_5632,13.9083952417379,17.0522720640582,28.640026,39.270043,cnj02,self,78
scanone,UKLvW,3,2012,30.230028,bin_3@30.23cM_scaffold_36500_3209,10.2835604738894,12.074937513763,28.640026,32.77003,cnj02,self,79
scanone,UKLvW,3,all-years,29.670027,bin_3@29.67cM_scaffold_42014_1292,14.1224280318697,16.5687262328281,28.640026,34.750032,cnj02,self,80
scanone,UKLvW,5,2012,60.97005,bin_5@60.97cM_scaffold_1210_954,11.451024947507,13.7062212619778,58.470049,68.530057,cnj02,self,81
scanone,UKLvW,8,2011,51.74005,bin_8@51.74cM_scaffold_34921_1026,14.0288560999338,17.2301939553719,50.160048,58.840061,cnj02,self,82
scanone,UKLvW,8,all-years,58.05006,bin_8@58.05cM_scaffold_126870_338,12.683423122672,14.5722769388812,54.640058,58.840061,cnj02,self,83
scanone,UKLvW,9,2011,81.240073,bin_9@81.24cM_scaffold_4532_4509,11.7106069336488,13.9071633024818,80.040071,84.220074,cnj02,self,84
scanone,UKLvW,9,2013,88.510082,bin_9@88.51cM_scaffold_17431_1305,7.2089340336649,12.4803158758773,81.240073,89.860084,cnj02,self,85
scanone,UKLvW,9,all-years,80.890072,bin_9@80.89cM_scaffold_32504_717,12.2344670017574,13.9653497020401,75.260066,84.220074,cnj02,self,86
scanone,UKSO,1,2011,78.60007,bin_1@78.6cM_scaffold_29336_265,21.1086835199772,13.5239671872572,74.280063,81.390071,cnj02,self,87
scanone,UKSO,3,all-years,37.130039,bin_3@37.13cM_scaffold_158866_55,9.38610095676913,10.1164804477428,35.940035,45.51005,cnj02,self,88
scanone,UKSO,11,2011,46.900054,bin_11@46.9cM_scaffold_91186_478,17.0503088815395,10.2830552750413,44.640053,50.060056,cnj02,self,89
scanone,UKSO,12,2012,49.400033,bin_12@49.4cM_scaffold_40948_2457,22.8712659441756,17.4592088193656,46.97003,58.930042,cnj02,self,90
scanone,UKTO,2,2013,87.960099,bin_2@87.96cM_scaffold_90528_1718,8.91152091933845,11.9438888395159,84.190092,91.660106,cnj02,self,91
scanone,UKTO,3,2013,34.780033,bin_3@34.78cM_scaffold_2087_7048,10.9348862962482,15.1489317077715,32.77003,36.190036,cnj02,self,92
scanone,UKTO,4,2012,28.130031,bin_4@28.13cM_scaffold_45191_576,8.54673570130599,10.9296313593095,25.550025,32.320035,cnj02,self,93
scanone,UKTO,9,2011,55.290045,bin_9@55.29cM_scaffold_49889_117,13.4832896582756,17.3117495435904,44.630038,58.28005,cnj02,self,94
scanone,UKTO,9,all-years,65.720058,bin_9@65.72cM_scaffold_5384_8241,9.33491278684664,12.5906533395569,59.170052,70.500063,cnj02,self,95
scanone,UKTO,11,2011,20.18002,bin_11@20.18cM_scaffold_72495_1231,9.61436393040873,11.6740980533285,17.250019,21.880021,cnj02,self,96
scanone,UKTO,12,2012,54.960038,bin_12@54.96cM_scaffold_2841_5173,10.0512681760972,13.1729005615407,50.470034,57.590041,cnj02,self,97
scanone,UKUX,2,2012,52.480053,bin_2@52.48cM_scaffold_27196_4009,19.3053693492545,16.7875342432739,43.420042,58.090065,cnj02,self,98
scanone,UKUX,2,all-years,49.390047,bin_2@49.39cM_scaffold_77675_473,19.5505602844109,14.1637564139279,48.260045,52.480053,cnj02,self,99
scanone,UKUX,3,2011,29.670027,bin_3@29.67cM_scaffold_42014_1292,21.9881298279578,27.5354264496563,28.640026,32.77003,cnj02,self,100
scanone,UKUX,3,all-years,29.670027,bin_3@29.67cM_scaffold_42014_1292,28.8332545760695,24.0562563515808,28.640026,32.77003,cnj02,self,101
scanone,UKUX,5,2013,78.180067,bin_5@78.18cM_scaffold_12152_1265,8.68188861103701,10.9265730749759,76.390065,83.540073,cnj02,self,102
scanone,UKUX,9,2011,81.240073,bin_9@81.24cM_scaffold_4532_4509,9.77563538031087,10.2305642996726,75.260066,84.220074,cnj02,self,103
scanone,UKUX,9,all-years,81.240073,bin_9@81.24cM_scaffold_4532_4509,16.3282919231912,11.2775354593161,77.91007,84.220074,cnj02,self,104
scanone,UKUX,11,2013,38.070045,bin_11@38.07cM_scaffold_7181_4242,13.8851172788704,19.0383402790063,37.210042,38.690046,cnj02,self,105
scanone,UKUY,2,2012,37.130033,bin_2@37.13cM_SCF73288,29.5056201298804,23.0258351099282,29.370029,39.720036,cnj02,self,106
scanone,UKUY,3,2011,30.260029,bin_3@30.26cM_scaffold_90420_584,13.8005361730214,12.8879611085637,20.75002,34.750032,cnj02,self,107
scanone,UKUY,3,all-years,30.260029,bin_3@30.26cM_scaffold_90420_584,12.8618181208005,10.8697921444007,28.640026,33.360031,cnj02,self,108
scanone,UKUY,5,2012,54.270044,bin_5@54.27cM_SCF101878,17.2345519030832,10.8603179778482,44.740029,57.210047,cnj02,self,109
scanone,UKUY,9,2011,8.810009,bin_9@8.81cM_scaffold_14290_5672,17.2002036486081,16.8844393528821,4.840006,11.64001,cnj02,self,110
scanone,UKUY,11,2011,17.250019,bin_11@17.25cM_scaffold_26864_4373,14.5379106260871,13.723434014191,8.660012,21.880021,cnj02,self,111
scanone,UKUY,11,all-years,17.250019,bin_11@17.25cM_scaffold_26864_4373,16.5583821669414,14.7711671797225,8.660012,20.18002,cnj02,self,112
scanone,UDM,1,2012,32.870022,bin_1@32.87cM_scaffold_5152_276,15.1774460737389,12.5184627892955,29.040015,39.760032,cnj02,self,113
scanone,UDM,3,2011,34.750032,bin_3@34.75cM_scaffold_113156_448,18.9952581985885,12.8474013467026,33.360031,36.490037,cnj02,self,114
scanone,UDM,5,2012,45.18003,bin_5@45.18cM_scaffold_6777_7504,15.7889654414284,13.1573480433882,41.750026,48.310035,cnj02,self,115
scanone,UDM,7,2011,52.940068,bin_7@52.94cM_scaffold_196647_142,19.5059291213746,13.2935981204298,51.970065,55.500073,cnj02,self,116
scanone,UDM,10,2012,28.270022,bin_10@28.27cM_scaffold_62514_950,12.717992595513,10.068266570462,21.51002,33.96003,cnj02,self,117
scanone,UDM,12,2012,44.600028,bin_12@44.6cM_scaffold_84682_293,14.8915203629699,12.2238870882247,43.510027,48.760031,cnj02,self,118
scanone,UDM,12,2013,62.070045,bin_12@62.07cM_scaffold_91065_486,13.6902934687627,11.3709865846983,57.590041,67.24005,cnj02,self,119
scanone,MFM,2,2013,61.230072,bin_2@61.23cM_scaffold_1182_9666,17.2981948034332,10.8981643848179,58.160066,67.310081,cnj02,self,120
scanone,MFM,3,2011,36.490037,bin_3@36.49cM_scaffold_3243_9538,12.8679080424827,12.0418170569171,35.340034,45.51005,cnj02,self,121
scanone,MFM,3,2012,39.270043,bin_3@39.27cM_scaffold_18760_4623,14.96443846107,15.2529482329658,33.360031,43.050048,cnj02,self,122
scanone,MFM,3,2013,36.190036,bin_3@36.19cM_scaffold_6553_5632,24.6888851055055,17.6680447157928,35.340034,39.270043,cnj02,self,123
scanone,MFM,3,all-years,45.51005,bin_3@45.51cM_scaffold_12440_4793,11.3384624727309,12.2480363366425,40.480045,50.640052,cnj02,self,124
scanone,MFM,10,2012,29.810024,bin_10@29.81cM_scaffold_68094_1349,19.6066734328098,21.6203050436403,21.51002,33.96003,cnj02,self,125
scanone,MFM,10,all-years,36.610037,bin_10@36.61cM_scaffold_42230_1280,19.3159134007254,23.4545477919812,33.96003,41.870043,cnj02,self,126
scanone,MFM,11,2011,38.690046,bin_11@38.69cM_scaffold_75872_1322,15.7409451353554,15.3614076339764,28.380033,41.67005,cnj02,self,127
scanone,MFM,11,2012,23.010022,bin_11@23.01cM_scaffold_101041_435,15.5532257673523,16.0105324498247,20.18002,31.230035,cnj02,self,128
scanone,MFM,11,2013,38.070045,bin_11@38.07cM_scaffold_7181_4242,16.5044232935777,10.2593928720832,37.360043,38.690046,cnj02,self,129
scanone,MFM,11,all-years,30.320034,bin_11@30.32cM_scaffold_28856_2095,11.5320204328618,12.4919410412748,27.990032,36.650037,cnj02,self,130
scanone,UNAB,3,2011,35.340034,bin_3@35.34cM_scaffold_89673_809,29.9444992980684,20.2608594422767,34.780033,36.490037,cnj02,self,131
scanone,UNAB,3,all-years,35.340034,bin_3@35.34cM_scaffold_89673_809,27.777148842902,30.6668941826996,33.360031,36.490037,cnj02,self,132
scanone,UNAB,7,2011,34.800045,bin_7@34.8cM_SCF112540,25.4480394638596,16.0648310735435,29.450041,38.260048,cnj02,self,133
scanone,UNAB,8,2013,2.380003,bin_8@2.38cM_scaffold_1656_11289,8.89547956670278,10.2700990029535,0.0,14.650015,cnj02,self,134
scanone,UNAB,9,2013,87.090078,bin_9@87.09cM_scaffold_57514_1484,11.3389010011106,13.6254421968175,87.010077,89.290083,cnj02,self,135
scanone,UNAB,12,2011,54.110036,bin_12@54.11cM_scaffold_47570_2090,19.4401843421345,11.2077286918261,50.470034,54.960038,cnj02,self,136
scanone,UNAF,11,2011,46.900054,bin_11@46.9cM_scaffold_91186_478,12.602895564425,16.6330171386898,38.070045,51.800059,cnj02,self,137
scanone,UNAF,11,all-years,14.050015,bin_11@14.05cM_scaffold_57381_722,19.3001519471237,31.0432027948296,8.300011,20.18002,cnj02,self,138
scanone,UNB,1,all-years,30.570019,bin_1@30.57cM_SCF43220,11.8860889762651,11.4440024527391,23.210008,32.270021,cnj02,self,139
scanone,UNB,5,2011,65.400055,bin_5@65.4cM_scaffold_25855_3062,15.6704092539277,14.2361835072794,61.250051,72.210058,cnj02,self,140
scanone,UNB,11,2011,46.900054,bin_11@46.9cM_scaffold_91186_478,25.5731460513454,26.9503632501716,44.640053,50.060056,cnj02,self,141
scanone,UNB,11,all-years,43.470052,bin_11@43.47cM_scaffold_5369_8651,25.1991104072606,29.569846753912,41.67005,47.620055,cnj02,self,142
scanone,UN0,3,2013,38.950042,bin_3@38.95cM_scaffold_10536_5013,19.0484640224831,18.4799649739146,37.130039,41.080046,cnj02,self,143
scanone,UN0,12,2013,54.390037,bin_12@54.39cM_scaffold_70077_1397,12.9295798274671,11.3153542975672,50.470034,56.660039,cnj02,self,144
scanone,UNP,1,all-years,58.280049,bin_1@58.28cM_scaffold_23359_736,9.41052882896041,10.6581446239044,55.020044,60.76005,cnj02,self,145
scanone,UNP,3,2012,54.230054,bin_3@54.23cM_scaffold_52119_1893,16.5958699409345,12.6616161197207,50.640052,60.960057,cnj02,self,146
scanone,UNP,11,2013,31.230035,bin_11@31.23cM_scaffold_62302_445,18.9186854911234,23.5938873757101,28.380033,35.390036,cnj02,self,147
scanone,UNP,11,all-years,23.860023,bin_11@23.86cM_scaffold_101041_374,18.6971515201837,24.2471128482473,20.18002,26.670027,cnj02,self,148
scanone,UNS,3,all-years,85.170073,bin_3@85.17cM_scaffold_15806_2166,8.92449199683637,10.0918342481096,80.010069,92.400079,cnj02,self,149
scanone,UNS,7,2011,52.200066,bin_7@52.2cM_scaffold_16505_2368,15.1530877293266,15.10696472578,46.010056,55.500073,cnj02,self,150
scanone,UNS,7,2012,49.580058,bin_7@49.58cM_scaffold_11351_6036,12.7287773008127,14.3951148960696,41.730049,49.93006,cnj02,self,151
scanone,UNS,10,2012,28.150021,bin_10@28.15cM_scaffold_173749_80,12.7770709845225,14.4613084070885,21.51002,33.96003,cnj02,self,152
scanone,UNS,11,2012,24.400024,bin_11@24.4cM_scaffold_613_15422,9.89328875827286,10.6779760921613,20.18002,30.320034,cnj02,self,153
scanone,UNS,12,2013,62.750047,bin_12@62.75cM_scaffold_121110_433,17.2822017705414,14.5821054025945,56.660039,64.380049,cnj02,self,154
scanone,UNS,12,all-years,73.570056,bin_12@73.57cM_scaffold_23173_4257,9.79976111002448,11.2210790863502,70.730053,75.770058,cnj02,self,155
scanone,PAC,2,2012,43.420042,bin_2@43.42cM_scaffold_1741_1883,13.2750005438774,11.6525623597101,39.720036,48.260045,cnj02,self,156
scanone,PAC,7,2013,57.320076,bin_7@57.32cM_scaffold_31844_2897,21.615944918147,20.3643564043877,55.500073,62.02008,cnj02,self,157
scanone,PAC,11,2012,44.640053,bin_11@44.64cM_scaffold_66939_1710,14.861242290314,13.394894715488,41.67005,53.000061,cnj02,self,158
scanone,PAC,12,2011,48.760031,bin_12@48.76cM_scaffold_24404_4173,23.2100138452742,16.6535970653768,43.510027,57.23004,cnj02,self,159
scanone,PFR,11,2011,38.070045,bin_11@38.07cM_scaffold_7181_4242,14.7627324495913,16.6743564708557,30.320034,38.690046,cnj02,self,160
scanone,PFR,11,2013,37.200041,bin_11@37.2cM_scaffold_95332_586,15.1317950393011,17.0525482494734,31.230035,38.070045,cnj02,self,161
scanone,PFR,11,all-years,30.320034,bin_11@30.32cM_scaffold_28856_2095,21.4044750269182,29.1004735504256,28.380033,31.230035,cnj02,self,162
scanone,PFR,12,2013,40.53002,bin_12@40.53cM_scaffold_3092_8217,15.2557844416941,17.2280813577771,33.400018,46.300029,cnj02,self,163
scanone,PFR,12,all-years,18.170011,bin_12@18.17cM_scaffold_104350_512,16.5891615282132,20.9933174993598,7.180005,20.860014,cnj02,self,164
scanone,URB,1,2011,30.270018,bin_1@30.27cM_scaffold_156331_44,12.7949383794038,11.8917148286224,29.700016,33.690024,cnj02,self,165
scanone,URB,1,2011,30.270018,bin_1@30.27cM_scaffold_156331_44,12.7949383794038,11.8917148286224,29.700016,33.690024,cnj02,self,166
scanone,URB,1,2011,30.270018,bin_1@30.27cM_scaffold_156331_44,12.7949383794038,11.8917148286224,29.700016,33.690024,cnj02,self,167
scanone,URB,11,2011,38.690046,bin_11@38.69cM_scaffold_75872_1322,15.8623388102043,15.4178557426856,37.500044,50.060056,cnj02,self,168
scanone,URB,11,2011,38.690046,bin_11@38.69cM_scaffold_75872_1322,15.8623388102043,15.4178557426856,37.500044,50.060056,cnj02,self,169
scanone,URB,11,2011,38.690046,bin_11@38.69cM_scaffold_75872_1322,15.8623388102043,15.4178557426856,37.500044,50.060056,cnj02,self,170
scanone,USL,10,2013,18.530015,bin_10@18.53cM_scaffold_10669_2217,16.440134975565,12.2726464816991,12.58001,20.920017,cnj02,self,171
scanone,SFY,7,2013,38.260048,bin_7@38.26cM_scaffold_48675_2016,15.9762836119359,12.346609174364,32.730043,44.800054,cnj02,self,172
scanone,SFY,8,all-years,13.890014,bin_8@13.89cM_scaffold_32595_3575,10.8386423711866,13.4105059713301,10.910009,20.46002,cnj02,self,173
scanone,SFY,11,2011,38.070045,bin_11@38.07cM_scaffold_7181_4242,17.8678115718901,11.9386313586538,37.210042,38.690046,cnj02,self,174
scanone,SFY,11,2012,37.210042,bin_11@37.21cM_scaffold_38945_3027,16.3478758555398,20.14536219821,31.230035,44.640053,cnj02,self,175
scanone,SFY,11,all-years,21.880021,bin_11@21.88cM_scaffold_1122_2182,10.6443969092763,13.1334388345989,17.250019,30.320034,cnj02,self,176
scanone,SFY,12,2011,41.410021,bin_12@41.41cM_scaffold_68603_1565,17.0939256711809,11.2915103928626,33.400018,42.600023,cnj02,self,177
scanone,SFY,12,2013,40.53002,bin_12@40.53cM_scaffold_3092_8217,24.6271736726776,22.0826012839234,33.400018,42.890025,cnj02,self,178
scanone,SFY,12,all-years,42.600023,bin_12@42.6cM_scaffold_2038_8084,12.2469751994861,15.4640548752383,33.400018,46.300029,cnj02,self,179
scanone,TA,2,2013,52.480053,bin_2@52.48cM_scaffold_27196_4009,14.2180031798919,11.547431901755,49.390047,56.670061,cnj02,self,180
scanone,TA,2,all-years,52.480053,bin_2@52.48cM_scaffold_27196_4009,19.068595485333,11.5959627724189,47.790044,53.560056,cnj02,self,181
scanone,TA,3,2013,32.77003,bin_3@32.77cM_scaffold_58370_1534,13.6588546701003,10.9903320831963,28.640026,35.940035,cnj02,self,182
scanone,TA,5,2012,51.890042,bin_5@51.89cM_SCF46751,11.4156064276774,15.2387839247008,45.18003,56.140045,cnj02,self,183
scanone,TA,11,2011,53.000061,bin_11@53cM_scaffold_51138_759,12.3559375609194,19.2426536664195,50.060056,54.780064,cnj02,self,184
